Taxon	Group_Type	s.Alouatta	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Pasteurella_multocida	Multiple	1	1	0	0	5	0.8455484406292177	0.001	Alouatta:Gorilla
Pasteurellaceae_bacterium_NI1060	Multiple	1	1	0	0	5	0.8885233166386386	0.001	Alouatta:Gorilla
Porphyromonas_gingivalis	Multiple	1	0	1	1	13	0.8904196857986523	0.017	Alouatta:Homo:Pan
Propionibacterium_freudenreichii	Multiple	1	1	0	1	12	0.8864431490343012	0.001	Alouatta:Gorilla:Pan
Pyramidobacter_piscolens	Single	0	0	0	1	4	0.82915619758885	0.001	Pan
Rothia_aeria	Multiple	1	1	1	0	11	0.8104212885333923	0.009	Alouatta:Gorilla:Homo
Rothia_dentocariosa	Multiple	1	1	1	0	11	0.76687045019984	0.032	Alouatta:Gorilla:Homo
Rothia_mucilaginosa	Multiple	1	1	0	0	5	0.8307162842571049	0.001	Alouatta:Gorilla
Salmonella_enterica	Single	0	1	0	0	2	0.5976143046671968	0.005	Gorilla
Selenomonas_sp _oral_taxon_920	Multiple	1	1	1	0	11	0.7644214061270711	0.035	Alouatta:Gorilla:Homo
Selenomonas_sputigena	Single	0	0	1	0	3	0.7967934411560714	0.007	Homo
Slackia_heliotrinireducens	Multiple	0	1	0	1	9	0.796205918258959	0.001	Gorilla:Pan
Staphylococcus_saprophyticus	Single	0	1	0	0	2	0.6786161851826975	0.001	Gorilla
Staphylococcus_xylosus	Single	0	1	0	0	2	0.6995753094906021	0.002	Gorilla
Streptococcus_acidominimus	Single	1	0	0	0	1	0.9444123557853578	0.001	Alouatta
Streptococcus_agalactiae	Single	1	0	0	0	1	0.8746550862579997	0.001	Alouatta
Streptococcus_constellatus	Multiple	1	0	1	1	13	0.8364782190496521	0.007	Alouatta:Homo:Pan
Streptococcus_cristatus	Multiple	1	1	1	0	11	0.9282804502548723	0.001	Alouatta:Gorilla:Homo
Streptococcus_dysgalactiae	Multiple	1	1	0	0	5	0.7721217323006084	0.003	Alouatta:Gorilla
Streptococcus_equi	Multiple	1	1	0	1	12	0.8056605347075332	0.002	Alouatta:Gorilla:Pan
Streptococcus_gallolyticus	Single	1	0	0	0	1	0.9065310169113219	0.001	Alouatta
Streptococcus_gordonii	Multiple	1	0	1	0	6	0.9403134021264788	0.001	Alouatta:Homo
Streptococcus_himalayensis	Single	1	0	0	0	1	0.9854636938578016	0.001	Alouatta
Streptococcus_marmotae	Single	1	0	0	0	1	0.9867256186848499	0.001	Alouatta
Streptococcus_merionis	Single	1	0	0	0	1	0.960970758038634	0.001	Alouatta
Streptococcus_mitis	Multiple	1	0	1	0	6	0.7678323333263747	0.008	Alouatta:Homo
Streptococcus_mutans	Multiple	1	1	0	0	5	0.8775583794454471	0.001	Alouatta:Gorilla
Streptococcus_oralis	Multiple	1	0	1	0	6	0.9151935590949216	0.001	Alouatta:Homo
Streptococcus_pantholopis	Single	1	0	0	0	1	0.9348790594698548	0.001	Alouatta
Streptococcus_parasanguinis	Single	1	0	0	0	1	0.8452272108889396	0.001	Alouatta
Streptococcus_parauberis	Single	1	0	0	0	1	0.5457539612459773	0.021	Alouatta
Streptococcus_pneumoniae	Multiple	1	1	1	0	11	0.8758557459257962	0.001	Alouatta:Gorilla:Homo
Streptococcus_pseudopneumoniae	Single	1	0	0	0	1	0.9984891793431432	0.001	Alouatta
Streptococcus_pyogenes	Multiple	1	1	0	0	5	0.7856751804636762	0.002	Alouatta:Gorilla
Streptococcus_salivarius	Single	1	0	0	0	1	0.8921233395580999	0.001	Alouatta
Streptococcus_sanguinis	Multiple	1	0	1	0	6	0.9441207743308748	0.001	Alouatta:Homo
Streptococcus_sp _A12	Single	1	0	0	0	1	0.905509712771491	0.001	Alouatta
Streptococcus_sp _I G2	Single	1	0	0	0	1	0.979516823711588	0.001	Alouatta
Streptococcus_sp _I P16	Single	1	0	0	0	1	0.9723408590392577	0.001	Alouatta
Streptococcus_sp _NPS_308	Multiple	1	0	1	0	6	0.7801232605664333	0.006	Alouatta:Homo
Streptococcus_sp _oral_taxon_064	Multiple	1	0	1	0	6	0.6243640832675886	0.031	Alouatta:Homo
Streptococcus_sp _VT_162	Multiple	1	0	1	0	6	0.7463538437683565	0.011	Alouatta:Homo
Streptococcus_suis	Single	1	0	0	0	1	0.9381658458469501	0.001	Alouatta
Streptococcus_thermophilus	Single	1	0	0	0	1	0.9535159917173973	0.001	Alouatta
Streptococcus_troglodytae	Multiple	1	1	0	0	5	0.7680528894742131	0.004	Alouatta:Gorilla
Tannerella_forsythia	Multiple	0	1	1	1	14	0.9498728350441372	0.003	Gorilla:Homo:Pan
