Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Lysinibacillus_unclassified	Single	0	0	1	0	0	3	0.44721359549995793	0.025	Gorilla
Macrococcus_caseolyticus	Single	0	0	1	0	0	3	0.5539944379377572	0.013	Gorilla
Megasphaera_unclassified	Multiple	1	0	0	0	1	9	0.7468774818156709	0.002	Alouatta:Pan
Methanobrevibacter_smithii	Single	0	0	0	1	0	4	0.5985010266289233	0.033	Homo
Methanobrevibacter_unclassified	Single	0	0	0	1	0	4	0.7462216371764359	0.01	Homo
Mitsuokella_unclassified	Multiple	1	0	1	1	0	19	0.867155505198879	0.001	Alouatta:Gorilla:Homo
Mogibacterium_sp_CM50	Single	0	0	0	1	0	4	0.6974858324629157	0.003	Homo
Morganella_morganii	Single	0	0	1	0	0	3	0.44721359549995793	0.018	Gorilla
Neisseria_bacilliformis	Multiple	1	0	0	1	0	8	0.6900655593423543	0.007	Alouatta:Homo
Neisseria_elongata	Single	0	0	0	1	0	4	0.9128293243990935	0.001	Homo
Neisseria_flavescens	Single	0	0	0	1	0	4	0.5927489783638191	0.01	Homo
Neisseria_gonorrhoeae	Single	0	0	0	1	0	4	0.6098142674432537	0.012	Homo
Neisseria_macacae	Single	0	0	0	1	0	4	0.9004503377814963	0.001	Homo
Neisseria_meningitidis	Multiple	0	0	1	1	0	13	0.7509673573825991	0.002	Gorilla:Homo
Neisseria_sicca	Single	0	0	0	1	0	4	0.9288886427019799	0.001	Homo
Neisseria_subflava	Single	0	0	0	1	0	4	0.5694947974514994	0.013	Homo
Neisseria_unclassified	Multiple	1	0	1	1	0	19	0.8882155967969648	0.002	Alouatta:Gorilla:Homo
Olsenella_profusa	Multiple	0	0	1	1	0	13	0.6786689425598478	0.01	Gorilla:Homo
Olsenella_uli	Multiple	0	0	1	1	1	25	0.8889696009369505	0.001	Gorilla:Homo:Pan
Olsenella_unclassified	Multiple	1	0	1	1	0	19	0.635084416907657	0.03	Alouatta:Gorilla:Homo
Oribacterium_sp_oral_taxon_078	Multiple	0	0	0	1	1	15	0.7279670125105837	0.014	Homo:Pan
Oxalobacter_formigenes	Multiple	0	0	1	0	1	14	0.565685424949238	0.013	Gorilla:Pan
Parvimonas_micra	Multiple	1	0	0	1	1	21	0.7963442559349503	0.001	Alouatta:Homo:Pan
Parvimonas_unclassified	Multiple	1	0	0	1	1	21	0.9188880188862485	0.001	Alouatta:Homo:Pan
