Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Paraeggerthella hongkongensis	Multiple	0	0	1	0	1	14	0.7071067811865476	0.003	Gorilla:Pan
Parvimonas micra	Multiple	1	0	1	1	1	29	0.7507571935295483	0.006	Alouatta:Gorilla:Homo:Pan
Parvimonas sp. KA00067	Single	0	0	0	0	1	5	0.8451542547285166	0.001	Pan
Pasteurella multocida	Single	1	0	0	0	0	1	0.7863654439964926	0.001	Alouatta
Pasteurella testudinis	Single	1	0	0	0	0	1	0.8396256353942544	0.001	Alouatta
Pasteurellaceae bacterium NI1060	Single	0	0	1	0	0	3	0.4714045207910317	0.015	Gorilla
Peptoanaerobacter stomatis	Single	0	0	0	0	1	5	0.7866064080570376	0.001	Pan
Peptostreptococcaceae bacterium oral taxon 113	Single	0	0	0	0	1	5	0.813751150682566	0.001	Pan
Peptostreptococcaceae bacterium pGA 8	Single	0	0	0	0	1	5	0.814777008069016	0.001	Pan
Phocaeicola abscessus	Multiple	0	0	1	1	1	25	0.8600537257672599	0.001	Gorilla:Homo:Pan
Porphyromonas catoniae	Single	0	0	0	1	0	4	0.7276068751089989	0.003	Homo
Porphyromonas gingivalis	Multiple	0	0	0	1	1	15	0.8099425296616184	0.009	Homo:Pan
Porphyromonas gulae	Single	1	0	0	0	0	1	0.6260126019558632	0.003	Alouatta
Prevotella intermedia	Multiple	1	0	1	1	1	29	0.7132820394581202	0.008	Alouatta:Gorilla:Homo:Pan
Prevotella loescheii	Single	0	0	0	1	0	4	0.7669649888473704	0.002	Homo
Prevotella saccharolytica	Single	0	0	0	1	0	4	0.7276068751089989	0.002	Homo
Prevotella sp. oral taxon 472	Single	0	0	0	1	0	4	0.7669649888473704	0.003	Homo
Propionibacterium acidifaciens	Single	0	0	1	0	0	3	0.6866514739438057	0.003	Gorilla
Propionibacterium australiense	Single	0	0	1	0	0	3	0.874607646342129	0.001	Gorilla
Propionibacterium freudenreichii	Single	0	0	1	0	0	3	0.5328633090125755	0.012	Gorilla
Pseudomonas alcaligenes	Single	1	0	0	0	0	1	0.6324555320336759	0.002	Alouatta
Pseudomonas sp. ML96	Single	1	0	0	0	0	1	0.44721359549995793	0.049	Alouatta
Pseudopropionibacterium propionicum	Multiple	1	0	1	1	1	29	0.99022829596897	0.001	Alouatta:Gorilla:Homo:Pan
Pseudoramibacter alactolyticus	Multiple	0	0	0	1	1	15	0.7870068522955378	0.01	Homo:Pan
Pseudoxanthomonas sp. Root65	Single	1	0	0	0	0	1	0.5452660177366796	0.007	Alouatta
Rothia aeria	Multiple	1	0	1	1	0	19	0.8538216186250562	0.002	Alouatta:Gorilla:Homo
Rothia dentocariosa	Multiple	1	0	1	1	0	19	0.6757794126999073	0.027	Alouatta:Gorilla:Homo
Rothia mucilaginosa	Multiple	1	0	1	0	0	7	0.6546536707079771	0.006	Alouatta:Gorilla
Saccharopolyspora erythraea	Single	0	0	0	0	1	5	0.7559289460184544	0.003	Pan
Saccharopolyspora flava	Single	0	0	0	0	1	5	0.4844051410995499	0.04	Pan
Saccharopolyspora shandongensis	Single	0	0	0	0	1	5	0.5345224838248488	0.015	Pan
Selenomonas artemidis	Multiple	1	0	0	1	0	8	0.5547001962252291	0.04	Alouatta:Homo
Selenomonas noxia	Multiple	0	0	1	1	0	13	0.777593185920953	0.002	Gorilla:Homo
Selenomonas sp. F0473	Single	1	0	0	0	0	1	0.6506774107335672	0.003	Alouatta
Selenomonas sp. oral taxon 126	Single	0	0	0	1	0	4	0.6416889479197478	0.008	Homo
Selenomonas sp. oral taxon 138	Single	0	0	0	1	0	4	0.5423261445466404	0.034	Homo
Selenomonas sp. oral taxon 892	Single	0	0	0	1	0	4	0.6416889479197478	0.012	Homo
Selenomonas sp. oral taxon 920	Single	0	0	0	1	0	4	0.5423261445466404	0.038	Homo
Selenomonas sputigena	Single	0	0	0	1	0	4	0.7669649888473704	0.003	Homo
Shuttleworthia satelles	Single	0	0	0	0	1	5	0.7318667835847918	0.001	Pan
Slackia exigua	Multiple	0	0	1	0	1	14	0.8749412379102509	0.001	Gorilla:Pan
Solobacterium moorei	Single	0	0	0	0	1	5	0.8678710873609278	0.001	Pan
Sphingobacterium mizutaii	Single	1	0	0	0	0	1	0.8932926743827211	0.001	Alouatta
Staphylococcus saprophyticus	Single	0	0	1	0	0	3	0.5738202704910055	0.008	Gorilla
Staphylococcus xylosus	Single	0	0	1	0	0	3	0.5773502691896257	0.005	Gorilla
Streptococcus agalactiae	Single	1	0	0	0	0	1	0.7745966692414834	0.001	Alouatta
Streptococcus anginosus	Single	1	0	0	0	0	1	0.9000952318202757	0.001	Alouatta
Streptococcus caballi	Single	1	0	0	0	0	1	0.7745966692414834	0.001	Alouatta
Streptococcus constellatus	Single	1	0	0	0	0	1	0.6324555320336759	0.003	Alouatta
Streptococcus cristatus	Multiple	1	0	1	1	0	19	0.901216826512889	0.001	Alouatta:Gorilla:Homo
Streptococcus devriesei	Single	1	0	0	0	0	1	0.7586638214957917	0.001	Alouatta
Streptococcus dysgalactiae	Multiple	1	0	1	0	0	7	0.5695571392009323	0.022	Alouatta:Gorilla
Streptococcus equi	Multiple	1	0	0	0	1	9	0.9070424848291019	0.001	Alouatta:Pan
Streptococcus equinus	Single	1	0	0	0	0	1	1	0.001	Alouatta
Streptococcus ferus	Single	1	0	0	0	0	1	0.6324555320336759	0.003	Alouatta
Streptococcus gallolyticus	Single	1	0	0	0	0	1	0.9902521300509021	0.001	Alouatta
Streptococcus gordonii	Multiple	1	0	0	1	0	8	0.8755071153440298	0.002	Alouatta:Homo
Streptococcus himalayensis	Single	1	0	0	0	0	1	1	0.001	Alouatta
Streptococcus iniae	Single	1	0	0	0	0	1	0.6048162972484084	0.004	Alouatta
Streptococcus intermedius	Single	1	0	0	0	0	1	0.8854129183975422	0.001	Alouatta
Streptococcus macedonicus	Single	1	0	0	0	0	1	1	0.001	Alouatta
Streptococcus marmotae	Single	1	0	0	0	0	1	0.8944271909999159	0.001	Alouatta
