"species"	"isolation_source"
"Prevotella sp. oral taxon 299"	"oral"
"Prevotella sp. oral taxon 302"	"oral"
"Prevotella sp. oral taxon 306"	"oral"
"Prevotella sp. oral taxon 317"	"oral"
"Prevotella sp. oral taxon 472"	"oral"
"Prevotella sp. oral taxon 473"	"oral"
"Prevotella veroralis"	"oral"
"Propionibacterium acidifaciens"	"oral"
"Propionibacterium acnes"	"oral"
"Propionibacterium avidum"	"oral"
"Propionibacterium propionicum"	"oral"
"Pseudopropionibacterium propionicum"	"oral"
"Propionibacterium sp. oral taxon 192"	"oral"
"Propionibacterium sp. oral taxon 193"	"oral"
"Proteus mirabilis"	"not_oral"
"Pseudomonas aeruginosa"	"not_oral"
"Pseudomonas fluorescens"	"not_oral"
"Pseudomonas otitidis"	"not_oral"
"Pseudomonas pseudoalcaligenes"	"not_oral"
"Pseudomonas stutzeri"	"not_oral"
"Pseudoramibacter alactolyticus"	"oral"
"Pyramidobacter piscolens"	"oral"
"Ralstonia pickettii"	"not_oral"
"Rhizobium loti"	"not_oral"
"Rhodobacter capsulatus"	"not_oral"
"Rothia aeria"	"oral"
"Rothia dentocariosa"	"oral"
"Rothia mucilaginosa"	"oral"
"Sanguibacter keddieii"	"oral"
"Scardovia inopinata"	"oral"
"Scardovia wiggsiae"	"oral"
"Selenomonas artemidis"	"oral"
"Selenomonas flueggei"	"oral"
"Selenomonas infelix"	"oral"
"Selenomonas noxia"	"oral"
"Selenomonas sp. oral taxon 126"	"oral"
"Selenomonas sp. oral taxon 133"	"oral"
"Selenomonas sp. oral taxon 136"	"oral"
"Selenomonas sp. oral taxon 137"	"oral"
"Selenomonas sp. oral taxon 138"	"oral"
"Selenomonas sp. oral taxon 149"	"oral"
"Selenomonas sp. oral taxon 478"	"oral"
"Selenomonas sp. oral taxon 892"	"oral"
"Selenomonas sputigena"	"oral"
"Shuttleworthia satelles"	"oral"
"Simonsiella muelleri"	"oral"
"Slackia exigua"	"oral"
"Sneathia amnii"	"oral"
"Solobacterium moorei"	"oral"
"Staphylococcus aureus"	"not_oral"
"Staphylococcus aureus subsp.aureus"	"not_oral"
"Staphylococcus aureus subsp. aureus"	"not_oral"
"Staphylococcus aureus subsp. Aureus"	"not_oral"
"Staphylococcus caprae"	"not_oral"
"Staphylococcus epidermidis"	"not_oral"
"Staphylococcus warneri"	"not_oral"
"Stenotrophomonas maltophilia"	"not_oral"
"Stenotrophomonas nitritireducens"	"not_oral"
"Stomatobaculum longum"	"oral"
"Streptococcus agalactiae"	"not_oral"
"Streptococcus anginosus"	"oral"
"Streptococcus australis"	"oral"
"Streptococcus constellatus"	"oral"
"Streptococcus cristatus"	"oral"
"Streptococcus downei"	"oral"
"Streptococcus gordonii"	"oral"
