Min_Supp	Tax_Level	Taxon	nt	refseq	Match
0.04	species	Aggregatibacter_segnis	DidNotPassPrevalenceThreshold	Alouatta:Gorilla	DidNotPassPrevalenceThreshold
0.04	species	Aggregatibacter_sp._oral_taxon_458	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Anaeroglobus_geminatus	DidNotPassPrevalenceThreshold	Gorilla:Pan	DidNotPassPrevalenceThreshold
0.04	species	Anaerolineaceae_bacterium_oral_taxon_439	Gorilla:Pan:Homo	Pan:Homo	FALSE
0.04	species	Atopobium_parvulum	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Atopobium_rimae	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Atopobium_sp._HMSC064B08	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Atopobium_sp._oral_taxon_199	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Bacteroides_fragilis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Bacteroides_zoogleoformans	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Bacteroidetes_oral_taxon_274	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Campylobacter_curvus	Alouatta	Alouatta	TRUE
0.04	species	Campylobacter_gracilis	Alouatta:Gorilla:Pan:Homo	Gorilla:Pan:Homo	FALSE
0.04	species	Campylobacter_showae	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Candidatus_Kryptonium_thompsoni	DidNotPassPrevalenceThreshold	Control	DidNotPassPrevalenceThreshold
0.04	species	Candidatus_Methanomethylophilus_alvus	Pan	Pan	TRUE
0.04	species	Candidatus_Saccharibacteria_oral_taxon_TM7x	Pan:Homo	Pan:Homo	TRUE
0.04	species	Capnocytophaga_gingivalis	Alouatta:Homo	Alouatta	FALSE
0.04	species	Capnocytophaga_sp._ChDC_OS43	Alouatta	Alouatta	TRUE
0.04	species	Capnocytophaga_sputigena	Alouatta:Homo	Alouatta:Homo	TRUE
0.04	species	Cardiobacterium_hominis	DidNotPassPrevalenceThreshold	Alouatta:Homo	DidNotPassPrevalenceThreshold
0.04	species	Cardiobacterium_valvarum	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Homo	DidNotPassPrevalenceThreshold
0.04	species	Catonella_morbi	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.04	species	Clostridioides_difficile	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Coriobacteriaceae_bacterium_68-1-3	Pan	Pan	TRUE
0.04	species	Corynebacterium_matruchotii	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.04	species	Cryptobacterium_curtum	Pan	Pan	TRUE
0.04	species	Desulfobulbus_propionicus	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Desulfobulbus_sp._ORNL	DidNotPassPrevalenceThreshold	Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Desulfomicrobium_orale	Pan:Homo	Pan	FALSE
0.04	species	Dialister_invisus	DidNotPassPrevalenceThreshold	Gorilla:Pan	DidNotPassPrevalenceThreshold
0.04	species	Dialister_pneumosintes	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Eggerthella_lenta	Pan	Pan	TRUE
0.04	species	Eggerthia_catenaformis	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Eikenella_corrodens	Alouatta:Gorilla:Homo	Alouatta:Gorilla:Homo	TRUE
0.04	species	Faecalibacterium_prausnitzii	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Fermentimonas_caenicola	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Filifactor_alocis	Pan:Homo	Pan	FALSE
0.04	species	Fretibacterium_fastidiosum	Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Fusobacterium_hwasookii	Alouatta:Pan	Alouatta	FALSE
0.04	species	Fusobacterium_nucleatum	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.04	species	Fusobacterium_periodonticum	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Fusobacterium_sp._oral_taxon_203	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Gemella_morbillorum	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.04	species	Gemella_sp._oral_taxon_928	Alouatta:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Glaesserella_parasuis	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Gordonibacter_massiliensis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Gordonibacter_pamelaeae	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Gordonibacter_urolithinfaciens	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Haemophilus_influenzae	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Haemophilus_massiliensis	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Haemophilus_parainfluenzae	Alouatta	Alouatta	TRUE
0.04	species	Haemophilus_pittmaniae	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Histophilus_somni	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Johnsonella_ignava	DidNotPassPrevalenceThreshold	Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Kingella_kingae	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Kingella_oralis	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Lachnospiraceae_bacterium_oral_taxon_500	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Lautropia_mirabilis	DidNotPassPrevalenceThreshold	Alouatta:Homo	DidNotPassPrevalenceThreshold
0.04	species	Lawsonella_clevelandensis	Pan	Pan	TRUE
0.04	species	Leptotrichia_buccalis	Alouatta:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Leptotrichia_goodfellowii	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Leptotrichia_sp._oral_taxon_212	Alouatta:Homo	Homo	FALSE
0.04	species	Libanicoccus_massiliensis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Mannheimia_haemolytica	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Mannheimia_varigena	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	methanogenic_archaeon_ISO4-H5	Pan	Pan	TRUE
0.04	species	methanogenic_archaeon_mixed_culture_ISO4-G1	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Mogibacterium_diversum	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Mogibacterium_pumilum	Pan:Homo	Pan	FALSE
0.04	species	Murdochiella_vaginalis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Necropsobacter_massiliensis	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_bacilliformis	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_elongata	Alouatta:Gorilla:Homo	Alouatta:Homo	FALSE
