Min_Supp	Tax_Level	Taxon	nt	refseq	Match
0.07	genus	Corynebacterium	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Cryptobacterium	Pan	Pan	TRUE
0.07	genus	Desulfobulbus	Pan	Gorilla:Pan:Homo	FALSE
0.07	genus	Desulfomicrobium	Pan:Homo	Pan	FALSE
0.07	genus	Desulfovibrio	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Dialister	DidNotPassPrevalenceThreshold	Gorilla:Pan	DidNotPassPrevalenceThreshold
0.07	genus	Eggerthella	Pan	Pan	TRUE
0.07	genus	Eggerthia	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.07	genus	Eikenella	Alouatta:Gorilla:Homo	Alouatta:Gorilla:Homo	TRUE
0.07	genus	Enterococcus	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Eubacterium	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.07	genus	Filifactor	Pan	Pan	TRUE
0.07	genus	Fretibacterium	Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Fusobacterium	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Gemella	Pan	Alouatta:Homo	FALSE
0.07	genus	Gordonibacter	Pan	Pan	TRUE
0.07	genus	Haemophilus	Alouatta:Gorilla	Alouatta	FALSE
0.07	genus	Johnsonella	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.07	genus	Kingella	Alouatta	Alouatta	TRUE
0.07	genus	Kocuria	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Lactobacillus	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Lautropia	DidNotPassPrevalenceThreshold	Alouatta:Homo	DidNotPassPrevalenceThreshold
0.07	genus	Lawsonella	Pan	Pan	TRUE
0.07	genus	Leptotrichia	Alouatta:Homo	Alouatta:Homo	TRUE
0.07	genus	Mannheimia	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Micromonospora	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Mogibacterium	Pan:Homo	Pan	FALSE
0.07	genus	Murdochiella	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Mycobacterium	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Neisseria	Alouatta:Gorilla:Homo	Alouatta:Gorilla:Homo	TRUE
0.07	genus	Olsenella	Gorilla:Pan:Homo	Gorilla:Pan:Homo	TRUE
0.07	genus	Oribacterium	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.07	genus	Ottowia	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Parabacteroides	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.07	genus	Paraeggerthella	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.07	genus	Parvimonas	Pan:Homo	Pan:Homo	TRUE
0.07	genus	Pasteurella	Alouatta:Gorilla	Alouatta	FALSE
0.07	genus	Peptoanaerobacter	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.07	genus	Petrimonas	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Phocaeicola	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.07	genus	Porphyromonas	Pan:Homo	Pan:Homo	TRUE
0.07	genus	Prevotella	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Propionibacterium	Alouatta:Gorilla:Pan	Gorilla:Pan	FALSE
0.07	genus	Pseudopropionibacterium	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Pseudoramibacter	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.07	genus	Rothia	Alouatta:Gorilla	Alouatta	FALSE
0.07	genus	Selenomonas	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Slackia	Pan	Gorilla:Pan	FALSE
0.07	genus	Streptococcus	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Tannerella	Gorilla:Pan:Homo	Gorilla:Pan:Homo	TRUE
0.07	genus	Tessaracoccus	Alouatta:Gorilla:Pan	Alouatta	FALSE
0.07	genus	Treponema	Pan:Homo	Pan:Homo	TRUE
0.07	genus	Veillonella	Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
