Taxon Genus	Taxon	Block ID (nt)	Host Genus Grouping (nt)
Prevotella	Prevotella_maculosa	NA	
Candidatus	Candidatus_Prevotella_conceptionensis	NA	
Gemella	Gemella_unclassified	NA	
Neisseria	Neisseria_flavescens	NA	
Prevotella	Prevotella_micans	NA	
Centipeda	Centipeda_periodontii	NA	
Treponema	Treponema_vincentii	NA	
Pusillimonas	Pusillimonas_unclassified	NA	
Limnohabitans	Limnohabitans_unclassified	NA	
Fusobacterium	Fusobacterium_periodonticum	NA	
Rhodospirillum	Rhodospirillum_unclassified	NA	
Aeromonas	Aeromonas_unclassified	NA	
Caulobacter	Caulobacter_unclassified	NA	
Agromyces	Agromyces_unclassified	NA	
Streptococcus	Streptococcus_tigurinus	NA	
Gemella	Gemella_haemolysans	NA	
Bartonella	Bartonella_unclassified	NA	
Selenomonas	Selenomonas_infelix	NA	
Prevotella	Prevotella_dentalis	NA	
Eubacteriaceae	Eubacteriaceae_bacterium_OBRC8	NA	
Anaerotruncus	Anaerotruncus_unclassified	NA	
Granulicatella	Granulicatella_unclassified	NA	
Prevotella	Prevotella_marshii	NA	
Bulleidia	Bulleidia_extructa	NA	
Neisseria	Neisseria_gonorrhoeae	NA	
Pasteurella	Pasteurella_unclassified	NA	
Streptococcus	Streptococcus_mitis_oralis_pneumoniae	NA	
Leptotrichia	Leptotrichia_wadei	NA	
Leptotrichia	Leptotrichia_hofstadii	NA	
Eubacteriaceae	Eubacteriaceae_bacterium_CM5	NA	
Streptococcus	Streptococcus_australis	NA	
Gemella	Gemella_sanguinis	NA	
Prevotella	Prevotella_oulorum	NA	
Haemophilus	Haemophilus_haemolyticus	NA	
Lachnospiraceae	Lachnospiraceae_bacterium_ICM7	NA	
Selenomonas	Selenomonas_flueggei	NA	
Eubacteriaceae	Eubacteriaceae_bacterium_ACC19a	NA	
Leptotrichia	Leptotrichia_shahii	NA	
Campylobacter	Campylobacter_concisus	NA	
