Binning Method	Database	Taxonomic Level	Decontam Method	Decontam Threshold	Contaminant	Genus	Species
megan	nt	genus	combined	0.99	Escherichia	Escherichia	NA
megan	nt	genus	combined	0.99	Esteya	Esteya	NA
megan	nt	genus	combined	0.99	Eutypa	Eutypa	NA
megan	nt	genus	combined	0.99	Exiguobacterium	Exiguobacterium	NA
megan	nt	genus	combined	0.99	Exophiala	Exophiala	NA
megan	nt	genus	combined	0.99	Exserohilum	Exserohilum	NA
megan	nt	genus	combined	0.99	Faecalitalea	Faecalitalea	NA
megan	nt	genus	combined	0.99	Fargesia	Fargesia	NA
megan	nt	genus	combined	0.99	Felis	Felis	NA
megan	nt	genus	combined	0.99	Ferrocalamus	Ferrocalamus	NA
megan	nt	genus	combined	0.99	Fibrella	Fibrella	NA
megan	nt	genus	combined	0.99	Ficedula	Ficedula	NA
megan	nt	genus	combined	0.99	Fimbriimonas	Fimbriimonas	NA
megan	nt	genus	combined	0.99	Flavobacterium	Flavobacterium	NA
megan	nt	genus	combined	0.99	Fonsecaea	Fonsecaea	NA
megan	nt	genus	combined	0.99	Fonticula	Fonticula	NA
megan	nt	genus	combined	0.99	Frondihabitans	Frondihabitans	NA
megan	nt	genus	combined	0.99	Fusarium	Fusarium	NA
megan	nt	genus	combined	0.99	Galium	Galium	NA
megan	nt	genus	combined	0.99	Gallus	Gallus	NA
megan	nt	genus	combined	0.99	Ganoderma	Ganoderma	NA
megan	nt	genus	combined	0.99	Gardnerella	Gardnerella	NA
megan	nt	genus	combined	0.99	Geastrum	Geastrum	NA
megan	nt	genus	combined	0.99	Gemmata	Gemmata	NA
megan	nt	genus	combined	0.99	Gemmatimonas	Gemmatimonas	NA
megan	nt	genus	combined	0.99	Gemmatirosa	Gemmatirosa	NA
megan	nt	genus	combined	0.99	Geobacillus	Geobacillus	NA
megan	nt	genus	combined	0.99	Geodermatophilus	Geodermatophilus	NA
megan	nt	genus	combined	0.99	Glarea	Glarea	NA
megan	nt	genus	combined	0.99	Gloeobacter	Gloeobacter	NA
megan	nt	genus	combined	0.99	Gluconacetobacter	Gluconacetobacter	NA
megan	nt	genus	combined	0.99	Gluconobacter	Gluconobacter	NA
megan	nt	genus	combined	0.99	Glutamicibacter	Glutamicibacter	NA
megan	nt	genus	combined	0.99	Glycine	Glycine	NA
megan	nt	genus	combined	0.99	Gongylonema	Gongylonema	NA
megan	nt	genus	combined	0.99	Gordonia	Gordonia	NA
megan	nt	genus	combined	0.99	Gossypium	Gossypium	NA
megan	nt	genus	combined	0.99	Gramella	Gramella	NA
megan	nt	genus	combined	0.99	Granulibacter	Granulibacter	NA
megan	nt	genus	combined	0.99	Granulicella	Granulicella	NA
megan	nt	genus	combined	0.99	Grosmannia	Grosmannia	NA
megan	nt	genus	combined	0.99	Gynochthodes	Gynochthodes	NA
megan	nt	genus	combined	0.99	Haemonchus	Haemonchus	NA
megan	nt	genus	combined	0.99	Hafnia	Hafnia	NA
megan	nt	genus	combined	0.99	Haliangium	Haliangium	NA
megan	nt	genus	combined	0.99	Halobacterium	Halobacterium	NA
megan	nt	genus	combined	0.99	Haloferax	Haloferax	NA
megan	nt	genus	combined	0.99	Halorhodospira	Halorhodospira	NA
megan	nt	genus	combined	0.99	Halotalea	Halotalea	NA
megan	nt	genus	combined	0.99	Halothiobacillus	Halothiobacillus	NA
megan	nt	genus	combined	0.99	Helianthus	Helianthus	NA
megan	nt	genus	combined	0.99	Heligmosomoides	Heligmosomoides	NA
megan	nt	genus	combined	0.99	Hepacivirus	Hepacivirus	NA
megan	nt	genus	combined	0.99	Herbaspirillum	Herbaspirillum	NA
megan	nt	genus	combined	0.99	Herminiimonas	Herminiimonas	NA
megan	nt	genus	combined	0.99	Herpetosiphon	Herpetosiphon	NA
megan	nt	genus	combined	0.99	Heterocephalus	Heterocephalus	NA
megan	nt	genus	combined	0.99	Hirsutella	Hirsutella	NA
megan	nt	genus	combined	0.99	Histoplasma	Histoplasma	NA
megan	nt	genus	combined	0.99	Hoeflea	Hoeflea	NA
megan	nt	genus	combined	0.99	Homo	Homo	NA
