"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"55","TAF008_KNP005",4171,9043,13214
"267","KNP005_OAK005",3621,9222,12843
"133","GOY005_KNP005",4453,8322,12775
"277","KNP005_MTM009",4142,8271,12413
"275","KNP005_PES001",4304,7982,12286
"271","KNP005_EMN001",3275,8516,11791
"235","OAK002_KNP005",3653,8094,11747
"269","KNP005_EBO003",1366,10373,11739
"293","KNP005_ECO004",3459,8278,11737
"291","KNP005_DJA002",1085,10141,11226
"279","KNP005_ECO002",2397,6543,8940
"295","KNP005_FUM002",2838,5914,8752
"273","KNP005_OME005",3808,2229,6037
"289","KNP005_OME002",2972,2383,5355
"281","KNP005_OME003",2887,1944,4831
