Database	Taxon Genus	Taxon	Block ID	Host Genus Grouping
mp2	Treponema	Treponema_vincentii	NA	
mp2	Pusillimonas	Pusillimonas_unclassified	NA	
mp2	Limnohabitans	Limnohabitans_unclassified	NA	
mp2	Fusobacterium	Fusobacterium_periodonticum	NA	
mp2	Rhodospirillum	Rhodospirillum_unclassified	NA	
mp2	Aeromonas	Aeromonas_unclassified	NA	
mp2	Caulobacter	Caulobacter_unclassified	NA	
mp2	Agromyces	Agromyces_unclassified	NA	
mp2	Streptococcus	Streptococcus_tigurinus	NA	
mp2	Gemella	Gemella_haemolysans	NA	
mp2	Bartonella	Bartonella_unclassified	NA	
mp2	Selenomonas	Selenomonas_infelix	NA	
mp2	Prevotella	Prevotella_dentalis	NA	
mp2	Eubacteriaceae	Eubacteriaceae_bacterium_OBRC8	NA	
mp2	Anaerotruncus	Anaerotruncus_unclassified	NA	
mp2	Granulicatella	Granulicatella_unclassified	NA	
mp2	Prevotella	Prevotella_marshii	NA	
mp2	Bulleidia	Bulleidia_extructa	NA	
mp2	Neisseria	Neisseria_gonorrhoeae	NA	
mp2	Pasteurella	Pasteurella_unclassified	NA	
mp2	Streptococcus	Streptococcus_mitis_oralis_pneumoniae	NA	
mp2	Leptotrichia	Leptotrichia_wadei	NA	
mp2	Leptotrichia	Leptotrichia_hofstadii	NA	
mp2	Eubacteriaceae	Eubacteriaceae_bacterium_CM5	NA	
mp2	Streptococcus	Streptococcus_australis	NA	
mp2	Gemella	Gemella_sanguinis	NA	
mp2	Prevotella	Prevotella_oulorum	NA	
mp2	Haemophilus	Haemophilus_haemolyticus	NA	
mp2	Lachnospiraceae	Lachnospiraceae_bacterium_ICM7	NA	
mp2	Selenomonas	Selenomonas_flueggei	NA	
mp2	Eubacteriaceae	Eubacteriaceae_bacterium_ACC19a	NA	
mp2	Leptotrichia	Leptotrichia_shahii	NA	
mp2	Campylobacter	Campylobacter_concisus	NA	
