Database	Tax_Level	Min_Supp	Combination	Taxon
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Selenomonas_sputigena
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_agalactiae
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_anginosus
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_constellatus
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_dysgalactiae
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_equi
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_gordonii
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_intermedius
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_pyogenes
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Tannerella_forsythia
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Tannerella_sp._oral_taxon_HOT-286
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Tessaracoccus_sp._T2.5-30
nt	species	0.01	Gorilla:Pan:Homo	[Eubacterium]_sulci
nt	species	0.01	Gorilla:Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439
nt	species	0.01	Gorilla:Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x
nt	species	0.01	Gorilla:Pan:Homo	Clostridioides_difficile
nt	species	0.01	Gorilla:Pan:Homo	Fretibacterium_fastidiosum
nt	species	0.01	Gorilla:Pan:Homo	Mogibacterium_pumilum
nt	species	0.01	Gorilla:Pan:Homo	Olsenella_sp._oral_taxon_807
nt	species	0.01	Gorilla:Pan:Homo	Olsenella_uli
nt	species	0.01	Gorilla:Pan:Homo	Olsenella_umbonata
nt	species	0.01	Pan:Homo	[Eubacterium]_minutum
nt	species	0.01	Pan:Homo	Desulfobulbus_propionicus
nt	species	0.01	Pan:Homo	Desulfomicrobium_orale
nt	species	0.01	Pan:Homo	Filifactor_alocis
nt	species	0.01	Pan:Homo	Murdochiella_vaginalis
nt	species	0.01	Pan:Homo	Parvimonas_micra
nt	species	0.01	Pan:Homo	Treponema_denticola
nt	species	0.01	Pan:Homo	Treponema_putidum
nt	species	0.01	Pan:Homo	Treponema_sp._OMZ_838
nt	species	0.01	Alouatta:Gorilla:Pan:Homo:Control	uncultured_bacterium
nt	species	0.01	Homo	Veillonella_parvula
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_oris
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_radicidentis
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._Chiba101
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_succiniciruminis
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Campylobacter_gracilis
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Prevotella_intermedia
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Streptococcus_anginosus
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Streptococcus_constellatus
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	Streptococcus_intermedius
nt	species	0.04	Alouatta:Gorilla:Pan:Homo	uncultured_bacterium
nt	species	0.04	Pan:Homo	[Eubacterium]_minutum
nt	species	0.04	Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x
nt	species	0.04	Pan:Homo	Desulfomicrobium_orale
nt	species	0.04	Pan:Homo	Filifactor_alocis
nt	species	0.04	Pan:Homo	Mogibacterium_pumilum
nt	species	0.04	Pan:Homo	Parvimonas_micra
nt	species	0.04	Pan:Homo	Porphyromonas_gingivalis
nt	species	0.04	Pan:Homo	Tannerella_sp._oral_taxon_HOT-286
nt	species	0.04	Pan:Homo	Treponema_denticola
nt	species	0.04	Pan:Homo	Treponema_sp._OMZ_838
nt	species	0.04	Gorilla:Pan:Homo	Actinomyces_hongkongensis
nt	species	0.04	Gorilla:Pan:Homo	Actinomyces_meyeri
nt	species	0.04	Gorilla:Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439
nt	species	0.04	Gorilla:Pan:Homo	Fretibacterium_fastidiosum
nt	species	0.04	Gorilla:Pan:Homo	Olsenella_sp._oral_taxon_807
nt	species	0.04	Gorilla:Pan:Homo	Olsenella_uli
nt	species	0.04	Gorilla:Pan:Homo	Tannerella_forsythia
nt	species	0.04	Homo	Veillonella_parvula
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_oris
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_radicidentis
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._Chiba101
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_succiniciruminis
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Streptococcus_anginosus
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	Streptococcus_intermedius
nt	species	0.07	Alouatta:Gorilla:Pan:Homo	uncultured_bacterium
nt	species	0.07	Pan:Homo	[Eubacterium]_minutum
nt	species	0.07	Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439
nt	species	0.07	Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x
nt	species	0.07	Pan:Homo	Desulfomicrobium_orale
nt	species	0.07	Pan:Homo	Mogibacterium_pumilum
nt	species	0.07	Pan:Homo	Olsenella_sp._oral_taxon_807
nt	species	0.07	Pan:Homo	Parvimonas_micra
nt	species	0.07	Pan:Homo	Porphyromonas_gingivalis
nt	species	0.07	Pan:Homo	Tannerella_forsythia
nt	species	0.07	Pan:Homo	Tannerella_sp._oral_taxon_HOT-286
nt	species	0.07	Pan:Homo	Treponema_denticola
nt	species	0.07	Gorilla:Pan:Homo	Actinomyces_hongkongensis
nt	species	0.07	Gorilla:Pan:Homo	Actinomyces_meyeri
nt	species	0.07	Gorilla:Pan:Homo	Campylobacter_gracilis
nt	species	0.07	Gorilla:Pan:Homo	Fretibacterium_fastidiosum
nt	species	0.07	Gorilla:Pan:Homo	Olsenella_uli
nt	species	0.07	Homo	Veillonella_parvula
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_dentalis
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_gerencseriae
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_israelii
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_johnsonii
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_massiliensis
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_oris
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_radicidentis
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_ruminicola
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_slackii
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._HMSC075C01
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_170
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_448
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_849
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_timonensis
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_urogenitalis
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Campylobacter_gracilis
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Campylobacter_showae
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Cardiobacterium_valvarum
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Centipeda_periodontii
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Eikenella_corrodens
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Prevotella_intermedia
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_anginosus
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Streptococcus_intermedius
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo	Tannerella_sp._oral_taxon_HOT-286
refseq	species	0.01	Pan:Homo	[Eubacterium]_minutum
refseq	species	0.01	Pan:Homo	[Eubacterium]_saphenum
refseq	species	0.01	Pan:Homo	Actinomyces_sp._oral_taxon_877
refseq	species	0.01	Pan:Homo	Bacteroidetes_oral_taxon_274
refseq	species	0.01	Pan:Homo	Catonella_morbi
refseq	species	0.01	Pan:Homo	Desulfomicrobium_orale
refseq	species	0.01	Pan:Homo	Eggerthia_catenaformis
refseq	species	0.01	Pan:Homo	Filifactor_alocis
refseq	species	0.01	Pan:Homo	Kytococcus_sedentarius
refseq	species	0.01	Pan:Homo	Lachnoanaerobaculum_saburreum
refseq	species	0.01	Pan:Homo	Lachnospiraceae_bacterium_oral_taxon_500
refseq	species	0.01	Pan:Homo	Mogibacterium_diversum
refseq	species	0.01	Pan:Homo	Mogibacterium_pumilum
refseq	species	0.01	Pan:Homo	Oribacterium_sp._oral_taxon_078
refseq	species	0.01	Pan:Homo	Parvimonas_micra
refseq	species	0.01	Pan:Homo	Peptoanaerobacter_stomatis
refseq	species	0.01	Pan:Homo	Peptostreptococcaceae_bacterium_oral_taxon_113
refseq	species	0.01	Pan:Homo	Phocaeicola_abscessus
refseq	species	0.01	Pan:Homo	Propionibacterium_sp._oral_taxon_192
refseq	species	0.01	Pan:Homo	Selenomonas_sputigena
refseq	species	0.01	Pan:Homo	Treponema_denticola
refseq	species	0.01	Pan:Homo	Treponema_lecithinolyticum
refseq	species	0.01	Pan:Homo	Treponema_maltophilum
refseq	species	0.01	Pan:Homo	Treponema_medium
refseq	species	0.01	Pan:Homo	Treponema_sp._OMZ_838
refseq	species	0.01	Gorilla:Pan:Homo	[Eubacterium]_infirmum
refseq	species	0.01	Gorilla:Pan:Homo	Actinomyces_cardiffensis
refseq	species	0.01	Gorilla:Pan:Homo	Actinomyces_georgiae
refseq	species	0.01	Gorilla:Pan:Homo	Actinomyces_odontolyticus
refseq	species	0.01	Gorilla:Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439
refseq	species	0.01	Gorilla:Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x
refseq	species	0.01	Gorilla:Pan:Homo	Desulfobulbus_sp._ORNL
refseq	species	0.01	Gorilla:Pan:Homo	Johnsonella_ignava
refseq	species	0.01	Gorilla:Pan:Homo	Olsenella_sp._oral_taxon_807
refseq	species	0.01	Gorilla:Pan:Homo	Olsenella_uli
refseq	species	0.01	Gorilla:Pan:Homo	Porphyromonas_gingivalis
refseq	species	0.01	Gorilla:Pan:Homo	Slackia_exigua
refseq	species	0.01	Gorilla:Pan:Homo	Tannerella_forsythia
refseq	species	0.01	Gorilla:Pan:Homo	Treponema_socranskii
refseq	species	0.01	Homo	[Eubacterium]_yurii
refseq	species	0.01	Homo	Abiotrophia_defectiva
refseq	species	0.01	Homo	Abiotrophia_sp._HMSC24B09
refseq	species	0.01	Homo	Actinomyces_sp._oral_taxon_848
refseq	species	0.01	Homo	Corynebacterium_matruchotii
refseq	species	0.01	Homo	Neisseria_sp._HMSC077D05
refseq	species	0.01	Homo	Prevotella_loescheii
refseq	species	0.01	Homo	Prevotella_saccharolytica
refseq	species	0.01	Homo	Prevotella_sp._oral_taxon_317
refseq	species	0.01	Homo	Prevotella_sp._oral_taxon_472
refseq	species	0.01	Homo	Veillonella_parvula
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo:Control	Actinomyces_sp._oral_taxon_171
refseq	species	0.01	Alouatta:Gorilla:Pan:Homo:Control	Candidatus_Kryptonium_thompsoni
refseq	species	0.01	Gorilla:Pan:Homo:Control	Streptomyces_sp._JV178
refseq	species	0.04	Pan:Homo	[Eubacterium]_minutum
refseq	species	0.04	Pan:Homo	Actinomyces_cardiffensis
refseq	species	0.04	Pan:Homo	Actinomyces_odontolyticus
refseq	species	0.04	Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439
refseq	species	0.04	Pan:Homo	Bacteroidetes_oral_taxon_274
refseq	species	0.04	Pan:Homo	Campylobacter_showae
refseq	species	0.04	Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x
refseq	species	0.04	Pan:Homo	Lachnospiraceae_bacterium_oral_taxon_500
refseq	species	0.04	Pan:Homo	Olsenella_sp._oral_taxon_807
refseq	species	0.04	Pan:Homo	Parvimonas_micra
refseq	species	0.04	Pan:Homo	Phocaeicola_abscessus
refseq	species	0.04	Pan:Homo	Porphyromonas_gingivalis
refseq	species	0.04	Pan:Homo	Tannerella_forsythia
refseq	species	0.04	Pan:Homo	Tannerella_sp._oral_taxon_HOT-286
refseq	species	0.04	Pan:Homo	Treponema_denticola
refseq	species	0.04	Pan:Homo	Treponema_maltophilum
refseq	species	0.04	Pan:Homo	Treponema_socranskii
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_dentalis
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_gerencseriae
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_israelii
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_massiliensis
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_oris
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_ruminicola
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_170
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894
refseq	species	0.04	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum
refseq	species	0.04	Homo	Abiotrophia_defectiva
refseq	species	0.04	Homo	Abiotrophia_sp._HMSC24B09
refseq	species	0.04	Homo	Catonella_morbi
refseq	species	0.04	Homo	Corynebacterium_matruchotii
refseq	species	0.04	Homo	Gemella_morbillorum
refseq	species	0.04	Homo	Leptotrichia_sp._oral_taxon_212
refseq	species	0.04	Homo	Selenomonas_sputigena
refseq	species	0.04	Gorilla:Pan:Homo	Campylobacter_gracilis
refseq	species	0.04	Gorilla:Pan:Homo	Desulfobulbus_sp._ORNL
refseq	species	0.04	Gorilla:Pan:Homo	Johnsonella_ignava
refseq	species	0.04	Gorilla:Pan:Homo	Olsenella_uli
refseq	species	0.07	Pan:Homo	[Eubacterium]_minutum
refseq	species	0.07	Pan:Homo	Actinomyces_cardiffensis
refseq	species	0.07	Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439
refseq	species	0.07	Pan:Homo	Bacteroidetes_oral_taxon_274
refseq	species	0.07	Pan:Homo	Campylobacter_showae
refseq	species	0.07	Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x
refseq	species	0.07	Pan:Homo	Johnsonella_ignava
refseq	species	0.07	Pan:Homo	Lachnospiraceae_bacterium_oral_taxon_500
refseq	species	0.07	Pan:Homo	Olsenella_sp._oral_taxon_807
refseq	species	0.07	Pan:Homo	Phocaeicola_abscessus
refseq	species	0.07	Pan:Homo	Porphyromonas_gingivalis
refseq	species	0.07	Pan:Homo	Tannerella_forsythia
refseq	species	0.07	Pan:Homo	Tannerella_sp._oral_taxon_HOT-286
refseq	species	0.07	Pan:Homo	Treponema_denticola
refseq	species	0.07	Pan:Homo	Treponema_maltophilum
refseq	species	0.07	Pan:Homo	Treponema_socranskii
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_gerencseriae
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_israelii
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces_oris
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894
refseq	species	0.07	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum
refseq	species	0.07	Gorilla:Pan:Homo	Actinomyces_dentalis
refseq	species	0.07	Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414
refseq	species	0.07	Gorilla:Pan:Homo	Campylobacter_gracilis
refseq	species	0.07	Gorilla:Pan:Homo	Desulfobulbus_sp._ORNL
refseq	species	0.07	Gorilla:Pan:Homo	Olsenella_uli
refseq	species	0.07	Homo	Abiotrophia_defectiva
refseq	species	0.07	Homo	Actinomyces_odontolyticus
refseq	species	0.07	Homo	Corynebacterium_matruchotii
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Acidipropionibacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Actinoplanes
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Amycolatopsis
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Bacillus
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Bacteroides
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Bifidobacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Brachybacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Campylobacter
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Capnocytophaga
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Cellulomonas
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Clostridium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Desulfovibrio
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Eikenella
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Enterococcus
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Fusobacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Haemophilus
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Isoptericola
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Kocuria
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Lactobacillus
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Leptotrichia
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Micromonospora
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Neisseria
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Nocardia
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Nocardiopsis
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Olsenella
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Ottowia
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Paenibacillus
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Porphyromonas
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Prevotella
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Propionibacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Selenomonas
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Tannerella
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Tessaracoccus
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Treponema
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo	Veillonella
nt	genus	0.01	Gorilla:Pan:Homo	Clostridioides
nt	genus	0.01	Gorilla:Pan:Homo	Fretibacterium
nt	genus	0.01	Gorilla:Pan:Homo	Geobacter
nt	genus	0.01	Gorilla:Pan:Homo	Gordonibacter
nt	genus	0.01	Gorilla:Pan:Homo	Lachnoclostridium
nt	genus	0.01	Gorilla:Pan:Homo	Mogibacterium
nt	genus	0.01	Pan:Homo	Blautia
nt	genus	0.01	Pan:Homo	Desulfobulbus
nt	genus	0.01	Pan:Homo	Desulfomicrobium
nt	genus	0.01	Pan:Homo	Filifactor
nt	genus	0.01	Pan:Homo	Murdochiella
nt	genus	0.01	Pan:Homo	Parvimonas
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo:Control	Actinomyces
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo:Control	Bordetella
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo:Control	Corynebacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo:Control	Mycobacterium
nt	genus	0.01	Alouatta:Gorilla:Pan:Homo:Control	Streptococcus
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Actinomyces
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Campylobacter
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Capnocytophaga
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Clostridium
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Corynebacterium
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Fusobacterium
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Ottowia
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Prevotella
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Propionibacterium
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Selenomonas
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo	Tessaracoccus
nt	genus	0.04	Pan:Homo	Desulfomicrobium
nt	genus	0.04	Pan:Homo	Filifactor
nt	genus	0.04	Pan:Homo	Mogibacterium
nt	genus	0.04	Pan:Homo	Parvimonas
nt	genus	0.04	Pan:Homo	Porphyromonas
nt	genus	0.04	Pan:Homo	Treponema
nt	genus	0.04	Gorilla:Pan:Homo	Desulfovibrio
nt	genus	0.04	Gorilla:Pan:Homo	Fretibacterium
nt	genus	0.04	Gorilla:Pan:Homo	Olsenella
nt	genus	0.04	Gorilla:Pan:Homo	Tannerella
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo:Control	Mycobacterium
nt	genus	0.04	Alouatta:Gorilla:Pan:Homo:Control	Streptococcus
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Actinomyces
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Campylobacter
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Capnocytophaga
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Corynebacterium
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Fusobacterium
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Mycobacterium
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Ottowia
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Prevotella
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Selenomonas
nt	genus	0.07	Alouatta:Gorilla:Pan:Homo	Streptococcus
nt	genus	0.07	Pan:Homo	Desulfomicrobium
nt	genus	0.07	Pan:Homo	Mogibacterium
nt	genus	0.07	Pan:Homo	Parvimonas
nt	genus	0.07	Pan:Homo	Porphyromonas
nt	genus	0.07	Pan:Homo	Treponema
nt	genus	0.07	Gorilla:Pan:Homo	Fretibacterium
nt	genus	0.07	Gorilla:Pan:Homo	Olsenella
nt	genus	0.07	Gorilla:Pan:Homo	Tannerella
nt	genus	0.07	Homo	Veillonella
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Atopobium
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Bifidobacterium
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Campylobacter
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Capnocytophaga
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Cardiobacterium
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Cellulomonas
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Centipeda
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Eikenella
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Fusobacterium
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Leptotrichia
refseq	genus	0.01	Alouatta:Gorilla:Pan:Homo	Ottowia
