File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
MTM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3486856	750210	16693432	750194	75	21.51537087	21.514912
MTM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3065269	1226956	24908094	1226953	122	40.02767783	40.02757996
MTM004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4106490	971773	11258595	971759	97	23.6643216	23.66398067
MTM005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3434086	892672	28209229	892640	89	25.99445675	25.99352491
MTM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7069851	2316160	44790733	2316137	231	32.76108648	32.76076115
MTM008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5164298	1310169	33112681	1310143	131	25.36974048	25.36923702
MTM009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	2385491	564184	9516471	564176	56	23.65064467	23.65030931
MTM010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9123626	2355428	55653444	2355388	235	25.81679696	25.81635854
MTM011.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4775010	1601294	39141901	1601274	160	33.53488265	33.5344638
MTM012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10623025	5360805	130422791	5360769	536	50.46401566	50.46367678
MTM013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7105486	3016926	76199428	3016896	301	42.45910836	42.45868615
MTS001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6540914	2004153	42230993	2004129	200	30.64025914	30.63989222
MTS002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6562562	2467960	56818254	2467867	246	37.60665423	37.6052371
MTS003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7532301	2941622	70769720	2941591	294	39.05343135	39.05301979
PES001.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11872279	4616804	44480238	4616760	461	38.88725998	38.88688937
SPM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4576676	2654528	24240397	2654291	265	58.00122185	57.99604342
SPM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	2095474	1603885	46631603	1603859	160	76.54043906	76.53919829
SRR059389_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	45098888	34614865	188678629	34614843	3461	76.75325609	76.75320731
SRR059454_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	35830353	16696426	72774091	16696373	1669	46.59855291	46.59840499
SRR059455_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	36349527	16956279	73844675	16956224	1695	46.64786697	46.64771566
SRR059917_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	41460716	24629989	114592285	24629979	2462	59.40560457	59.40558045
SRR060358_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	37402539	28004741	162811775	28004669	2800	74.87390361	74.87371111
SRR061192_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	21917339	11238390	109356481	11238352	1123	51.2762521	51.27607872
SRR061294_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10375487	4128065	39788335	4128052	412	39.78671073	39.78658544
SRR061365_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	26907232	15143565	141600151	15143522	1514	56.28064975	56.28048994
SRR061562_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	32958887	14219598	195146678	14219416	1421	43.1434411	43.1428889
SRR062083_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	33714761	19757564	196495101	19757493	1975	58.60211793	58.60190734
SRR062298_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13965094	5060273	42021537	5060250	506	36.23515173	36.23498703
SRR062299_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6689934	2631481	24824457	2631458	263	39.33493215	39.33458835
SRR062477_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7881687	3796404	55722840	3796396	379	48.16740376	48.16730225
SRR063517_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	25964367	15415612	258254353	15415559	1541	59.37218496	59.37198084
SRR1631060_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	30740601	9533616	176036655	9532718	953	31.01310869	31.01018747
SRR1631061_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	31570995	9765728	180150121	9764719	976	30.93259493	30.92939896
SRR1631063_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	34647437	10801458	198950377	10800303	1080	31.17534495	31.17201137
SRR1631064_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	34889698	10826443	199051181	10825248	1082	31.03048642	31.02706134
SRR1633008_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	19880439	11246425	293773967	11245791	1124	56.57030511	56.56711605
SRR1761677_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	37322236	17445667	109750106	17445540	1744	46.74335964	46.74301936
SRR1761682_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	28773379	15735605	67148700	15735494	1573	54.68806774	54.68768197
