File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
LIB009.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	204414	88533	3858218	87215	8	43.3106343	42.66586437
LIB012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	84134	61214	4147791	60655	6	72.7577436	72.09332731
LIB013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	334	156	5201	152	1	46.70658683	45.50898204
LIB014.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	991883	643592	41278464	637572	64	64.88587868	64.27895226
LIB015.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1451516	738800	36457450	725684	73	50.89850887	49.99490188
LIB017.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	936003	567950	35822546	554357	56	60.67822432	59.22598539
LIB017.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	670043	556777	38092446	551055	55	83.09571177	82.24173672
LIB025.A0301_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	712751	137008	5742120	134559	13	19.22242129	18.87882304
LIB025.A0601_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	718323	468941	38131218	467386	46	65.28274885	65.06627242
LIB025.A0701_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	830044	451312	5873702	449599	45	54.37205738	54.16568278
LIS001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10615930	5259575	39435159	5090845	525	49.54417559	47.95477174
LIS002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11561710	4741520	35134541	4705592	474	41.01054256	40.69979268
LIS003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10417160	5568926	58453410	5355624	556	53.45915777	51.41155555
LOB001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8770905	2965208	66584133	2887590	296	33.80732091	32.92237232
MOA001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15176910	6029427	23528663	6023868	602	39.7276323	39.6910043
MTK001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8268804	3504522	69685768	3479202	350	42.38245338	42.07624222
MTM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3486856	1256961	26072903	1249623	125	36.04854918	35.83810172
MTM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3065269	1302525	40682475	1265256	130	42.49300795	41.27716034
MTM003_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	34546048	20267727	532678119	19959877	2026	58.66872819	57.77759876
MTM004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4106490	1569335	26674527	1562375	156	38.21597033	38.04648252
MTM005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3434086	1540635	42229892	1527071	154	44.86302906	44.46804768
MTM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7069851	3713300	91822829	3470495	371	52.52303054	49.0886583
MTM008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5164298	2229132	54111996	2220941	222	43.16427906	43.00567086
MTM009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	2385491	892985	13454472	889342	89	37.43401254	37.28129764
MTM010_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9123626	3117908	80638386	3109581	311	34.17400056	34.08273202
