Sample_Name	Extra_lib_2	Extra_lib_3	Extra_lib_4	Extra_lib_5	ERR_Accession	ERR_Accession_Extra_lib_2	ERR_Accession_Extra_lib_3	ERR_Accession_Extra_lib_4	ERR_Accession_Extra_lib_5	NonHuman_Reads_Lib_1	NonHuman_Reads_Lib_2	NonHuman_Reads_Lib_3	NonHuman_Reads_Lib_4	NonHuman_Reads_Lib_5	Final NonHuman Reads
JAE009.A0101	NA	NA	NA	NA	ERR3149838					66062410	0	0	0	0	66062410
JAE010.A0101	NA	NA	NA	NA	ERR3149839					60027336	0	0	0	0	60027336
JAE012.A0101	NA	NA	NA	NA	ERR3149840					62752277	0	0	0	0	62752277
JAE013.A0101	NA	NA	NA	NA	ERR3149841					38954329	0	0	0	0	38954329
JAE014.A0101	NA	NA	NA	NA	ERR3149842					68620482	0	0	0	0	68620482
JAE015.A0101	NA	NA	NA	NA	ERR3149843					57512281	0	0	0	0	57512281
JAE016.A0101	NA	NA	NA	NA	ERR3149844					94564553	0	0	0	0	94564553
KNP001.A0101	NA	NA	NA	NA						16260023	0	0	0	0	16260023
KNP003.A0101	NA	NA	NA	NA						10394445	0	0	0	0	10394445
KNP004.A0101	NA	NA	NA	NA						184494	0	0	0	0	184494
KNP005.A0101	NA	NA	NA	NA						11095033	0	0	0	0	11095033
KNP006.A0101	NA	NA	NA	NA						11159677	0	0	0	0	11159677
KNP007.A0101	NA	NA	NA	NA						9160659	0	0	0	0	9160659
KNP009.A0101	NA	NA	NA	NA						11345038	0	0	0	0	11345038
LIS001.A0101	NA	NA	NA	NA						10615930	0	0	0	0	10615930
LIS002.A0101	NA	NA	NA	NA						11561710	0	0	0	0	11561710
LIS003.A0101	NA	NA	NA	NA						10417160	0	0	0	0	10417160
LOB001.A0101	LOB001.A0101.170817	NA	NA	NA						3603485	5167420	0	0	0	8770905
MOA001.A01010101	MOA001.A0101.170817	MOA001.A0102	MOA001.A0102.170817	NA						1220834	5508952	1533769	6913355	0	15176910
MTK001.A0101	MTK001.A0101.170817	NA	NA	NA						3645665	4623139	0	0	0	8268804
MTM001.A0101	NA	NA	NA	NA						3486856	0	0	0	0	3486856
MTM002.A0101	NA	NA	NA	NA						3065269	0	0	0	0	3065269
MTM003.A0101	MTM003.A0101.170817	NA	NA	NA						14006209	20539839	0	0	0	34546048
MTM004.A0101	NA	NA	NA	NA						4106490	0	0	0	0	4106490
MTM005.A0101	NA	NA	NA	NA						3434086	0	0	0	0	3434086
MTM006.A0101	NA	NA	NA	NA						7069851	0	0	0	0	7069851
MTM008.A0101	NA	NA	NA	NA						5164298	0	0	0	0	5164298
MTM009.A0101	NA	NA	NA	NA						2385491	0	0	0	0	2385491
MTM010.A0101	MTM010.A0101.170817	NA	NA	NA						3651505	5472121	0	0	0	9123626
MTM011.A0101	MTM011.A0101.170817	NA	NA	NA						1972687	2802323	0	0	0	4775010
MTM012.A0101	MTM012.A0101.170817	NA	NA	NA						4168902	6454123	0	0	0	10623025
MTM013.A0101	MTM013.A0101.170817	NA	NA	NA						3007807	4097679	0	0	0	7105486
