"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"447","ECO002_ECO004",694,987,1681
"299","OAK005_EMN001",393,1284,1677
"233","KNP004_FUM002",858,747,1605
"373","EMN001_FUM002",146,1447,1593
"429","MTM009_DJA002",389,1179,1568
"397","PES001_MTM009",503,1059,1562
"265","OAK002_FUM002",293,1256,1549
"305","OAK005_MTM009",305,1244,1549
"85","TAF008_FUM002",584,949,1533
"369","EMN001_DJA002",706,810,1516
"321","OAK005_ECO004",508,948,1456
"475","KNP009_FUM002",764,678,1442
"417","MTM009_ECO002",479,878,1357
"341","EBO003_JAE008",635,616,1251
"339","EBO003_VLC009",649,580,1229
"327","EBO003_OME005",646,582,1228
"99","VLC004_EBO003",627,597,1224
"505","ECO004_FUM002",532,672,1204
"17","JAE014_EBO003",592,588,1180
"343","EBO003_OME002",578,562,1140
"335","EBO003_OME003",571,565,1136
"173","KNP001_EBO003",599,530,1129
"433","MTM009_FUM002",367,750,1117
"269","KNP005_EBO003",584,503,1087
"399","PES001_ECO002",179,852,1031
"59","TAF008_EBO003",449,551,1000
"415","PES001_FUM002",89,866,955
"137","GOY005_EBO003",500,439,939
"207","KNP004_EBO003",400,525,925
"239","OAK002_EBO003",498,405,903
"303","OAK005_PES001",219,640,859
"307","OAK005_ECO002",209,634,843
"337","EBO003_KNP009",364,478,842
"449","ECO002_FUM002",107,717,824
"319","OAK005_DJA002",208,526,734
"411","PES001_DJA002",305,427,732
"331","EBO003_MTM009",194,535,729
"347","EBO003_ECO004",315,413,728
"325","EBO003_EMN001",356,323,679
"445","ECO002_DJA002",246,431,677
"323","OAK005_FUM002",157,503,660
"345","EBO003_DJA002",73,557,630
"503","DJA002_FUM002",187,354,541
"297","OAK005_EBO003",115,347,462
"333","EBO003_ECO002",136,292,428
"329","EBO003_PES001",140,249,389
"349","EBO003_FUM002",114,191,305
