sample	Env	Description	Host_General	Host_Common	Age	EnvironmentalControl	ruralGut	sediment	skin	subPlaque	supPlaque	urbanGut	unknown	total_plaquegut	more_env
GDC005.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0	0.074	0.2907	0.3256	0.1696	0	1e-4	0.14	0.24369999999999997	TRUE
BIT001.A0101	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Historical	0.2244	1e-4	0.1879	0.3891	0	0.1135	0	0.085	0.1136	TRUE
FDM001.A0101	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Historical	0.0612	0	0.3578	0.0655	0	0.4645	0	0.051	0.4645	FALSE
IBA001.A0101	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Historical	0	0	0.6689	0.2301	1e-4	0.0307	0	0.0702	0.0308	TRUE
IBA002.A0101	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Historical	0	0	0.1713	0.7232	0	0	0	0.1055	0	TRUE
WAL001.A0101	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Historical	0	0	0.2953	0.6268	1e-4	9e-4	0	0.0769	0.001	TRUE
OME002.A0101	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Historical	0.0181	0	0.1265	0.0351	0.4661	0.2881	3e-4	0.0658	0.7545	FALSE
OME003.A0101	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Historical	0	0	0.1436	0.0656	0.4451	0.3064	0	0.0393	0.7515000000000001	FALSE
OME005.A0101	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Historical	0	1e-4	0.1063	0.0963	0.1424	0.599	0	0.0559	0.7414999999999999	FALSE
OME007.A0101	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Historical	0	0	0.1356	0.0489	0.0039	0.765	1e-4	0.0465	0.769	FALSE
OME009.A0101	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Historical	0	0	0.1759	0.0768	0	0.6785	0	0.0688	0.6785	FALSE
LIB015.A0101	LibraryControl	library_control	LibraryControl	LibraryControl	ModernDay	0	0	0.2659	0.2362	0.1382	0.2399	1e-4	0.1197	0.3782	FALSE
