Site,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,Individual,,,,,,,,,,,,,,,,,,
"Site Id","Name","Locality","Province","Country","Latitude","Longitude","Files","Notes","Tags","Projects","Full Sample Id","Archaeological ID","Type Group","Type","Protocol","Worker","Creation Date","Experiment Date","Quantity","Location Room","Location","Files","Notes","Contact Person","Tags","Projects","Full Individual Id","Owner","Contact Person","Provenience","Worker","Creation Date","Organism","Archaeological ID","C14 Uncalibrated","C14 Uncalibrated Variation","C14 Calibrated From","C14 Calibrated To","C14 Info","C14 Id","Ethics","Files","Notes","Tags","Projects"
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC001.A","SMF/PA/PC-005","Calculus","24","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:23:46","2016-07-12 10:23:46","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Other Info: Teeth: 24; Old Sample Type: Calculus 24","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC001","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-005","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Male","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC002.A","SMF/PA/PC-033","Calculus","14","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:31:03","2016-07-12 10:31:03","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Other Info: Teeth 14; Old Sample Type: Calculus 14","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC002","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-033","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Female

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC002.B","SMF/PA/PC-033","Calculus","25","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:31:03","2016-07-12 10:31:03","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","2","Other Info: Teeth: 25; Old Sample Type: Calculus 25","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC002","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-033","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Female

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC003.A","SMF/PA/PC-050","Calculus","Permanent molar","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:32:05","2016-07-12 10:32:05","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","2","Other Info: Teeth: 48; 38; Old Sample Type: Calculus","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC003","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-050","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Female

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC004.A","SMF/PA/PC-057","Calculus","Permanent premolar","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:35:08","2016-07-12 10:35:08","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Other Info: Teeth: 85 ; 75; Old Sample Type: Calculus","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC004","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-057","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Juvenile

Tooth 81 loose, fell out of socket

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC005.A","SMF/PA/PC-071","Calculus","Tooth unspecified","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:40:26","2016-07-12 10:40:26","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","4","Other Info: Teeth: 17; 14; Old Sample Type: Calculus","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC005","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-071","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. 

Enamel broken off of tooth 13, some enamel already missing.

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC006.A","81SMF/PA/PC-081","Calculus","25","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:43:00","2016-07-12 10:43:00","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","7","Other Info: Teeth: 25; Old Sample Type: Calculus 25","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC006","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","81SMF/PA/PC-081","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Female

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC007.A","SMF/PA/PC-084","Calculus","Permanent molar","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:43:34","2016-07-12 10:43:34","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Other Info: Teeth: 18; 26; 28; Old Sample Type: Calculus","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC007","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-084","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Female

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC008.A","SMF/PA/PC-091","Calculus","26","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:45:21","2016-07-12 10:45:21","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Other Info: Teeth: 26; Old Sample Type: Calculus 26","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC008","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-091","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Male

","",""
"CDC","Chimp Dental Calculus","","Unknown","Liberia","0.0000000","0.0000000","0","Senckenberg Collection ~100y/o","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC009.A","SMF/PA/PC-099","Calculus","Tooth unspecified","MPI calculus field sampling protocol","Cody Edward Parker","2016-08-12 10:48:10","2016-07-12 10:48:10","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","5","Other Info: Teeth: 17; 14; 28; Old Sample Type: Calculus","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","CDC009","Naturmuseum Senckenberg, Frankfurt","Ottmar Kullmer","","Cody Edward Parker","2016-08-11 11:42:53","Pan troglodytes (common chimpanzee)","SMF/PA/PC-099","0","0","0","0","","","","0","Medical CT (less exposure than µCT)

~100 y.o. Male

","",""
