File,Count
File,Count
SRR1633008_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,38568
DLV002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,100
KNP001.A0102_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,18347
ERR1883424_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,48101
SRR3189416_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,29789
JAE014.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,133776
SRR059455_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,60436
EXB015.A2101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,75
EXB020.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,35
MTM010.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,29666
SRR061562_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,78387
EXB015.A2901_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,87
SRR063517_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,150590
ERR1883423_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,64303
OAK004.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,20590
JAE006.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,238627
GUE001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,9041
KNP009.A0102_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,13297
SRR059389_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,101413
GDC002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,23791
SpyOld_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,24308
SRR1804823_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,46184
PYK004.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,28885
EXB015.A2601_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,387
SRR3189411_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,32547
GOY005.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,18289
ERR1883418_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,33224
SRR1929408_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,135796
CDC006.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,17718
LIB007.A0117_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,5
SRR513775_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,70166
ABM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,10743
KNP007.A0102_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,11663
ESA007.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,14263
EXB021.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,32
ERR1883419_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,26195
ARS012.A0101.SG1.2_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,6248
VLD001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,13933
WAL001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,45364
VLC001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,76402
SRR1930121_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,162667
MTM008.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,11511
MOA001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,15160
SRR061320_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,54148
