Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 60/188,EXB033.A0401,1328307,97145,7.313,1231162,36218,9031,27187,2.727,1.332,0.0006,0.0497,0.02,0.02,0.01,0,0,8,0.0345223006819965,55.01,0.0022,0.003,0.0049,0.003,71.48,76.0,40.77
Sample 61/188,EXB033.A0801,1002197,0,0.000,0,68373,50940,17433,6.822,3.922,0.0003,0.0561,0.02,0.01,0,0,0,5,0.01394169835234474,46.32,0.0126,0.0086,0.0042,0.0061,53.46,50.0,47.46
Sample 62/188,EXB033.A1401,403750,29306,7.258,374444,5701,29,5672,1.412,1.005,0.0001,0.015,0.01,0.01,0,0,0,2,0.006518196632265073,56.68,0.0072,0.0073,0.0057,0.002,62.78,70.0,43.14
Sample 63/188,FDM001.A0101,4609597,394939,8.568,4214658,65179,687,64492,1.414,1.011,0.001,0.0482,0.06,0.04,0,0,0,7,0.02432253002595208,23.92,0.1225,0.09,0.1027,0.0791,48.81,45.0,43.9
Sample 64/188,FDM001.A0101.171215,4664149,399407,8.563,4264742,66835,621,66214,1.433,1.009,0.001,0.0476,0.06,0.04,0,0,0,10,0.03476371537208039,33.35,0.1208,0.0827,0.1057,0.0769,48.75,45.0,43.56
Sample 65/188,FUM001.A0101,28634221,1973745,6.893,26660476,8406457,3168614,5237843,29.358,1.605,0.1095,1.2029,2.48,1.96,1.5,1.22,0.96,3798,14.607761482286197,133.56,0.0056,0.0046,0.0057,0.0043,64.69,75.0,45.81
Sample 66/188,FUM002.A0101,32339421,2490107,7.700,29849314,212474,5662,206812,0.657,1.027,0.0042,0.109,0.21,0.18,0.01,0,0,174,0.6721588508660753,160.86,0.0081,0.0058,0.0082,0.0059,62.6,70.0,47.2
Sample 67/188,FUM003.A0101,29362799,2377593,8.097,26985206,2245513,225567,2019946,7.647,1.112,0.0403,0.5265,1.8,1.51,0.38,0.14,0.05,1353,5.093548192407508,126.55,0.0069,0.0054,0.0064,0.0049,61.73,68.0,47.78
Sample 68/188,GDC002.A0101,20987044,1835720,8.747,19151324,71742,1124,70618,0.342,1.016,0.001,0.1208,0.06,0.04,0,0,0,25,0.07978755507272618,76.07,0.0997,0.0829,0.0926,0.0757,46.0,42.0,45.76
Sample 69/188,GDC004.A0101,23199722,1543124,6.651,21656598,192762,6784,185978,0.831,1.036,0.0027,0.484,0.13,0.09,0.01,0,0,24,0.06699257649827992,24.98,0.1149,0.0985,0.0979,0.081,44.64,41.0,42.62
