Sample_Name,Raw_Reads,Post_Clip_and_Merge,Percent_Merged_Content_Post_Clip_and_Merge,Mapped_Reads,Percent_Endogenous_DNA,Post_Duplicate_Removal_Reads,Cluster_Factor,X_Mean_Coverage,mtDNA_Reads,Median_Fragment_Length,GC_Content_Percent,Non_Human_Reads
EXB015.A2801,4949108,2108939,58.0774977370137,22808,1.08149168847463,8610,2.64901277584204,0.0002,21,61,44.34,2086131
EXB015.A2901,1750630,510324,19.6872966977842,19347,3.79112093493545,7381,2.62118954071264,0.0002,7,76,44.47,490977
EXB020.A0101,220546,112204,34.693950304802,30420,27.1113329293073,2287,13.3012680367293,0.0001,0,71,73.45,81784
EXB021.A0101,217628,108735,19.8721662758082,35138,32.3152618752012,2386,14.7267393126572,0,0,66,83.49,73597
EXB022.A0101,5298316,2445235,34.2897512917981,677603,27.7111606859872,26241,25.8223009793834,0.0005,50,61,55.79,1767632
EXB023.A0101,5283270,2409113,47.1935521496916,677594,28.1262854834954,96355,7.03226609932022,0.002,79,63,48.16,1731519
EXB033.A0401,2184416,921045,55.4308421412635,29681,3.22253527243511,18003,1.64866966616675,0.0005,8,76,40.91,891364
EXB033.A0801,2308874,1009071,NA,68776,6.81577411302079,18776,3.66297400937367,0.0003,28,51,47.45,940295
EXB033.A1401,486094,227137,88.8525427385234,3564,1.56909706476708,3533,1.00877441268044,0.0001,1,75,42.92,223573
FDM001.A0101,5894884,2472888,97.736169207825,43182,1.74621737822336,37516,1.15102889433842,0.0006,3,46,45.97,2429706
FDM001.A0101.171215,5964256,2504516,97.6634207966729,44471,1.77563249745659,38794,1.14633706243233,0.0006,6,46,45.83,2460045
FUM001.A0101,34037968,16663862,82.1799052344529,5855364,35.1380970389697,1749866,3.34617850738285,0.0417,3780,75,45.52,10808498
FUM002.A0101,39367586,17346934,97.8226988123665,189400,1.09183559469356,128218,1.47717169196213,0.0029,111,73,48.24,17157534
FUM003.A0101,34052390,17170133,83.3147069973191,1461515,8.51196085668061,1116109,1.30947335788888,0.0252,923,71,47.57,15708618
GDC002.A0101,28835174,11389360,94.6400851320882,88706,0.778849733435417,43904,2.02045371720117,0.0007,14,43,51.25,11300654
GDC004.A0101,27391430,12455663,96.7968545712902,153011,1.22844524615029,105858,1.44543633924692,0.0016,14,42,44.81,12302652
GDC005.A0101,29901178,12460462,97.7955713038569,2529394,20.2993596866633,1995511,1.26754199801454,0.0309,799,44,47.64,9931068
GDN001.A0101,34496884,16338526,89.1696717317095,684584,4.18999853475154,25223,27.1412599611466,0.0005,6,65,56.63,15653942
GDN001.B0101,36398636,15326226,97.3625927217829,144698,0.944120228946122,32247,4.4871771017459,0.0007,15,60,53.67,15181528
GOY005.A0101,11004043,9332707,NA,169589,1.81714694353953,164894,1.02847283709535,0.0033,80,70,45.88,9163118
GOY006.A0101,5539193,5048233,NA,1248997,24.7412708565552,1224831,1.01973006888297,0.0274,921,75,45.21,3799236
GUE001.A0101,22722004,12055695,74.4043209454121,899364,7.46007592262412,256372,3.5080430000156,0.0063,374,75,49.17,11156331
IBA001.A0101,8628794,4168481,90.7942245628564,43959,1.05455680378536,35493,1.23852590651678,0.0007,9,53,47.12,4124522
IBA001.A0101.171215,18565046,8959383,91.0360903200589,96241,1.07419227417781,76888,1.25170377692228,0.0015,12,52,46.31,8863142
IBA002.A0101,14354566,6987154,94.6143021894179,39845,0.570260795740297,26596,1.49815761768687,0.0006,16,60,50.66,6947309
IBA002.A0101.171215,24962488,12144960,94.715239901984,70254,0.578462176903012,45237,1.55302075734465,0.0009,34,60,49.59,12074706
JAE006.A0101,141974546,88613670,59.1481957580586,729728,0.82349371152329,514499,1.41832734368774,0.0134,123,76,45.64,87883942
JAE007.A0101,108434984,66728743,61.5052661789238,309192,0.463356547867236,150355,2.05641315553191,0.0039,117,76,46.23,66419551
JAE008.A0101,105004392,66717630,56.5947081753354,1421591,2.13075764232033,1210858,1.17403609671819,0.0323,523,76,42.92,65296039
JAE009.A0101,106555264,66584109,58.8404569624864,521699,0.783518782236765,370638,1.40757018978086,0.0096,213,76,45.56,66062410
JAE010.A0101,100278048,60316527,64.9129980577297,289191,0.479455655661341,148743,1.9442326697727,0.0037,238,76,47.48,60027336
JAE012.A0101,97018596,63543283,51.7641982709644,791006,1.24483023642326,612795,1.29081666789057,0.0162,1290,76,45.65,62752277
JAE013.A0101,62847184,39086563,59.7906549112543,132234,0.338310636317652,33537,3.94292870560873,0.0008,39,76,52.68,38954329
JAE014.A0101,106965986,68875543,54.5178583927825,255061,0.370321581348549,73545,3.46809436399483,0.0019,101,76,48.85,68620482
JAE015.A0101,91164542,57698550,57.1513010292286,186269,0.322831336316077,25765,7.22953619250922,0.0006,252,74,58,57512281
JAE016.A0101,148237418,94897020,55.2460614674729,332467,0.350345037178196,119891,2.77307721180072,0.003,480,76,47.99,94564553
KNP001.A0102,30609376,16902026,79.1897847039166,642003,3.7983789635633,581027,1.10494520908667,0.0117,10,59,40.21,16260023
KNP003.A0102,19346626,10425696,81.2250424336179,31251,0.299749772101546,13574,2.30226904376013,0.0002,3,48,53.88,10394445
KNP004.A0102,346426,188197,80.1893760261853,3703,1.96761903749794,3446,1.07457922228671,0.0001,1,53,43.52,184494
KNP005.A0102,19273758,11286072,69.317925669799,191039,1.69269698084506,155811,1.22609443492436,0.0033,5,63,40.28,11095033
KNP006.A0102,21817058,11288291,87.5928606021939,128614,1.13935758743285,104635,1.22916806040044,0.002,9,54,42.5,11159677
KNP007.A0102,16521186,9238663,76.6506473934594,78004,0.844321304933409,56319,1.38503879685364,0.0012,0,62,43.29,9160659
KNP009.A0102,20075636,11405090,74.4249190493017,60052,0.526536835746145,27572,2.17800667343682,0.0005,1,57,47.07,11345038
LIB007.A0117,239618,77128,5.97189088268852,31798,41.2275697541749,1387,22.9257390050469,0,0,69,93.87,45330
LIB007.A0118,1760724,707817,7.93552570791603,293863,41.516804484775,5117,57.4287668555794,0.0001,0,64,85.79,413954
LIB007.A0119,1101852,478362,6.5471337606248,182597,38.1713012321213,4482,40.7400713966979,0.0001,0,59,92.43,295765
LIB007.A0120,3663208,1299130,7.14239529531302,2786,0.214451209655693,1601,1.74016239850094,0,0,61,31.15,1296344
LIB007.A0122,4548472,1963525,28.0993111877873,6288,0.320240384003259,2736,2.29824561403509,0.0001,0,56,36.32,1957237
LIB007.A0123,3860324,1451140,28.6229447193241,4680,0.322505064983392,2106,2.22222222222222,0,0,53,35.69,1446460
LIB007.A0124,2692716,800723,19.0140660378183,24697,3.0843375299573,6084,4.05933596318212,0.0001,3,62,42.78,776026
LIB009.A0102,284572,207929,NA,3515,1.69048088530219,2567,1.3693026879626,0.0001,1,70,43.77,204414
LIB012.A0101,264154,127410,15.3253276822855,43276,33.9659367396594,2291,18.8895678742907,0,0,67,86.18,84134
LIB013.A0101,802,527,30.550284629981,193,36.6223908918406,134,1.44029850746269,0,0,73,63.3,334
LIB014.A0101,3015750,1449431,28.4968377245968,457548,31.5674219745542,28087,16.2903834514188,0.0006,28,59,55.96,991883
LIB015.A0101,3741824,1838479,58.0447750559022,386963,21.0479967407841,60271,6.42038459624031,0.0012,32,61,50.68,1451516
LIB017.A0101,3072620,1374861,29.2813600793098,438858,31.920172293781,15322,28.6423443414698,0.0003,0,55,65.05,936003
LIB017.A0102,2230176,1103495,5.76504651131179,433452,39.2799242407079,8097,53.532419414598,0.0001,2,52,93.13,670043
LIB025.A0601,2328091,724955,NA,6632,0.914815402335317,2877,2.30517900590893,0,0,46,64.43,718323
LIB025.A0701,2762812,836784,NA,6740,0.805464731639228,2363,2.85230639018197,0,0,42,72.53,830044
LIS001.A0101,23166834,10650194,94.1007835162439,34264,0.32172183905758,9832,3.48494711147274,0.0002,6,44,67.35,10615930
LIS002.A0101,26977086,11617006,96.4120359411022,55296,0.475991834729189,9905,5.58263503281171,0.0001,3,39,78.87,11561710
LIS003.A0101,22024658,10478999,94.2337908420451,61839,0.590123159664392,10538,5.86819130764851,0.0002,5,43,70.26,10417160
LOB001.A0101,3766065,3623996,NA,20511,0.565977445891221,18774,1.09252157238734,0.0004,10,62,47.29,3603485
LOB001.A0101.170817,10536860,5207609,94.1197582230156,40189,0.771736126886638,29721,1.35220887587901,0.0006,14,59,49.77,5167420
MOA001.A0101,1240487,1221426,NA,592,0.048467938295075,502,1.1792828685259,0,0,49,52.53,1220834
MOA001.A0101.170817,10408202,5521638,85.610266373855,12686,0.22975066456729,4227,3.00118287201325,0.0001,4,49,74.38,5508952
MOA001.A0102,1599129,1534820,NA,1051,0.068477085260812,940,1.11808510638298,0,2,50,49.05,1533769
MOA001.A0102.170817,13521376,6933063,87.2240595534759,19708,0.284261083448975,5721,3.4448522985492,0.0001,1,47,73.3,6913355
MTK001.A0101,3778311,3673776,NA,28111,0.765180021863064,25618,1.09731438832071,0.0005,18,74,44.67,3645665
MTK001.A0101.170817,9399470,4671930,94.9734692086568,48791,1.04434355822968,36838,1.32447472718389,0.0009,22,72,46.97,4623139
MTM001.A0101,8242730,3875027,95.6661205199344,388171,10.0172463314449,360193,1.07767502422312,0.007,108,56,44.38,3486856
MTM002.A0101,6050620,3170409,81.806416774618,105140,3.31629136808532,92736,1.13375603864734,0.002,66,69,45.44,3065269
MTM003.A0101,15243084,14830040,NA,823831,5.55515022211673,742982,1.10881690269751,0.0159,244,75,44.47,14006209
MTM003.A0101.170817,42285192,21767357,88.2770976742836,1227518,5.63926065989546,1164775,1.05386705586916,0.028,331,75,43.63,20539839
MTM004.A0101,9246092,4189539,97.3076751403913,83049,1.98229447201709,76293,1.08855334041131,0.0015,22,56,45.62,4106490
MTM005.A0101,7120314,3459869,93.2162749514505,25783,0.74520162468579,23862,1.08050456793228,0.0005,29,64,46.47,3434086
MTM006.A0101,14671648,7111633,91.4368753280716,41782,0.587516256814715,38419,1.08753481350374,0.0009,16,69,46.32,7069851
MTM008.A0101,10692468,5259403,95.476330678596,95105,1.80828508482807,87981,1.08097202805151,0.0019,73,66,48.82,5164298
MTM009.A0101,5193468,2400568,97.4141119934949,15077,0.628059692539432,14012,1.07600628033114,0.0002,9,49,47.37,2385491
MTM010.A0101,3999181,3831858,NA,180353,4.70667232449637,165937,1.08687634463682,0.0032,189,60,46.24,3651505
MTM010.A0101.170817,11727168,5749677,94.7935162270855,277556,4.82733203969545,262143,1.0587961532446,0.0053,276,58,45.76,5472121
MTM011.A0101,3602979,3542664,NA,1569977,44.31628288768,1393615,1.12655001560689,0.0299,499,75,45.68,1972687
MTM011.A0101.170817,9264188,4924429,84.3602984224161,2122106,43.0934429149045,2051078,1.03462959477894,0.0495,557,75,44.81,2802323
MTM012.A0101,4713268,4644355,NA,475453,10.2372234680596,429302,1.10750241089024,0.0088,584,68,45.41,4168902
MTM012.A0101.170817,13764126,7190590,88.2113846012636,736467,10.2420941814232,703063,1.04751210062256,0.0157,867,67,44.76,6454123
MTM013.A0101,3428641,3326513,NA,318706,9.58078324058857,284882,1.11872986008242,0.0056,570,64,45.51,3007807
