Genus	Phylum	Gram_Stain	Oxygen_Tolerance	Motility	Metabolism
Halorubrum	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Nitrate reducer
Thermococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Sulfur reducer
Caldisphaera	Crenarchaeota	Gram_Negative	Anaerobe	NA	NA
Methanoplanus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen
Candidatus Nitrosopelagicus	Thaumarchaeota	NA	NA	NA	NA
Natronorubrum	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	NA
Haloquadratum	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Desulfurococcus	Crenarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Sulfur respiration
Halopenitus	Euryarchaeota	NA	NA	NA	NA
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Parvarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Thermosphaera	Crenarchaeota	Gram_Negative	Anaerobe	Motile	NA
Natrinema	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	NA
Candidatus Nanobsidianus	Nanoarchaeota	NA	NA	NA	NA
Saccharolobus	Crenarchaeota	Gram_Negative	Aerobe	Motile	Sulfur metabolizing
Methanocaldococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen
Methanocaldococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen, Nitrogen fixation
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Diapherotrites	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Nitrosoarchaeum	Thaumarchaeota	Gram_Negative	Anaerobe	NA	Ammonia-oxidizer
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
