File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
ERR1883486_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17191205	1355826	36685825	1355525	135	7.88674208701484	7.88499119171693
ERR753910_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	127316829	10552254	174779772	10535340	1055	8.28818474578879	8.27489977778193
ERR753911_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	113930975	9316773	149061374	9301807	931	8.17755926340488	8.16442323959748
ERR753912_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	117796900	10520641	165358113	10503967	1052	8.93116966575521	8.91701479410749
ESA003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10129501	4030062	32101330	4030036	403	39.7853951542134	39.7851384781935
ESA004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7824141	2661758	15682495	2661711	266	34.0198112482891	34.0192105433683
ESA006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11233426	3799854	19999757	3799701	379	33.8263144298097	33.8249524232411
ESA007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9903431	3310655	16136433	3310599	331	33.4293741229681	33.4288086623717
ESA008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9119930	2848491	14897090	2848460	284	31.2336936796664	31.2333537647767
EXB002.A1101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	280225	70954	4568431	70953	7	25.3203675617807	25.3200107056829
EXB015.A1701_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	238443	149563	4803846	149562	14	62.7248440927182	62.7244247052755
EXB015.A1901_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	277964	188745	4672568	188741	18	67.9026780446389	67.9012390093681
EXB015.A2001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	309131	215728	7133586	215726	21	69.7853013770861	69.784654402179
EXB015.A2101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	448340	330362	8676895	330359	33	73.685595753223	73.6849266181916
EXB015.A2201_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	505402	336864	23996549	336852	33	66.6526843977665	66.6503100502175
EXB015.A2301_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	172075	109691	3395743	109690	10	63.7460409705071	63.7454598285631
