Genus	Sum	Percent	Protein	Host_Genus
Rodentibacter	9	0.314245810055866	pc1n4nomod	Gorilla
Streptococcus	449	15.677374301676	pc1n4nomod	Gorilla
Total	2864	100	pc1n4nomod	Gorilla
[Mannheimia]	13	0.169469430321992	pc1n4nomod	Alouatta
Actinobacillus	50	0.651805501238431	pc1n4nomod	Alouatta
Aggregatibacter	2069	26.9717116412463	pc1n4nomod	Alouatta
Bibersteinia	3	0.0391083300743058	pc1n4nomod	Alouatta
Gallibacterium	1	0.0130361100247686	pc1n4nomod	Alouatta
Haemophilus	15	0.195541650371529	pc1n4nomod	Alouatta
Histophilus	3	0.0391083300743058	pc1n4nomod	Alouatta
Mannheimia	14	0.182505540346761	pc1n4nomod	Alouatta
Necropsobacter	8	0.104288880198149	pc1n4nomod	Alouatta
Pasteurella	25	0.325902750619215	pc1n4nomod	Alouatta
Rodentibacter	2	0.0260722200495372	pc1n4nomod	Alouatta
Streptococcus	5468	71.2814496154348	pc1n4nomod	Alouatta
Total	7671	100	pc1n4nomod	Alouatta
Aggregatibacter	971	25.3922594142259	pc1n5nomod	Homo
Candidatus	1	0.0261506276150628	pc1n5nomod	Homo
Citrobacter	1	0.0261506276150628	pc1n5nomod	Homo
Edwardsiella	1	0.0261506276150628	pc1n5nomod	Homo
Escherichia	3	0.0784518828451883	pc1n5nomod	Homo
Gemella	2	0.0523012552301255	pc1n5nomod	Homo
Granulicatella	5	0.130753138075314	pc1n5nomod	Homo
Mannheimia	1	0.0261506276150628	pc1n5nomod	Homo
Pantoea	2	0.0523012552301255	pc1n5nomod	Homo
Photorhabdus	1	0.0261506276150628	pc1n5nomod	Homo
Salmonella	1	0.0261506276150628	pc1n5nomod	Homo
Streptococcus	2833	74.0847280334728	pc1n5nomod	Homo
Tolumonas	1	0.0261506276150628	pc1n5nomod	Homo
Yersinia	1	0.0261506276150628	pc1n5nomod	Homo
Total	3824	100	pc1n5nomod	Homo
Actinomyces	6	4.91803278688525	pc1n5nomod	Pan
Aggregatibacter	3	2.45901639344262	pc1n5nomod	Pan
