Combination	Taxon	n	Bootstrap_Result
Alouatta:Pan:Homo	Capnocytophaga	278	27.800000000000004
Alouatta:Pan:Homo	Clostridium	84	8.4
Alouatta:Pan:Homo	Desulfovibrio	117	11.700000000000001
Alouatta:Pan:Homo	Eikenella	1	0.1
Alouatta:Pan:Homo	Gemella	65	6.5
Alouatta:Pan:Homo	Leptotrichia	73	7.3
Alouatta:Pan:Homo	Olsenella	2	0.2
Alouatta:Pan:Homo	Ottowia	32	3.2
Alouatta:Pan:Homo	Parvimonas	424	42.4
Alouatta:Pan:Homo	Porphyromonas	271	27.1
Alouatta:Pan:Homo	Prevotella	8	0.8
Alouatta:Pan:Homo	Rothia	6	0.6
Alouatta:Pan:Homo	Tannerella	24	2.4
Alouatta:Pan:Homo	Treponema	408	40.8
Pan:Homo	Clostridium	236	23.599999999999998
Pan:Homo	Desulfobulbus	2	0.2
Pan:Homo	Desulfomicrobium	1000	100
Pan:Homo	Desulfovibrio	342	34.2
Pan:Homo	Filifactor	907	90.7
Pan:Homo	Fretibacterium	153	15.299999999999999
Pan:Homo	Gemella	42	4.2
Pan:Homo	Gordonibacter	11	1.0999999999999999
Pan:Homo	Methanobrevibacter	81	8.1
Pan:Homo	Mogibacterium	682	68.2
Pan:Homo	Murdochiella	25	2.5
Pan:Homo	Olsenella	2	0.2
Pan:Homo	Parvimonas	257	25.7
Pan:Homo	Porphyromonas	161	16.1
Pan:Homo	Prevotella	1	0.1
Pan:Homo	Tannerella	14	1.4000000000000001
Pan:Homo	Treponema	241	24.099999999999998
Alouatta:Gorilla:Homo	Aggregatibacter	909	90.9
Alouatta:Gorilla:Homo	Bordetella	138	13.8
Alouatta:Gorilla:Homo	Capnocytophaga	15	1.5
Alouatta:Gorilla:Homo	Eikenella	946	94.6
Alouatta:Gorilla:Homo	Haemophilus	737	73.7
Alouatta:Gorilla:Homo	Leptotrichia	91	9.1
Alouatta:Gorilla:Homo	Neisseria	737	73.7
Alouatta:Gorilla:Homo	Rothia	640	64
Alouatta:Gorilla:Homo	Tessaracoccus	2	0.2
Alouatta:Gorilla:Homo	Veillonella	265	26.5
Alouatta:Pan	Acidipropionibacterium	13	1.3
Alouatta:Pan	Amycolatopsis	438	43.8
Alouatta:Pan	Bacillus	245	24.5
Alouatta:Pan	Bacteroides	632	63.2
Alouatta:Pan	Bifidobacterium	2	0.2
Alouatta:Pan	Brachybacterium	19	1.9
Alouatta:Pan	Clostridium	103	10.299999999999999
Alouatta:Pan	Cryptobacterium	284	28.4
Alouatta:Pan	Desulfovibrio	37	3.6999999999999997
Alouatta:Pan	Gemella	562	56.2
Alouatta:Pan	Micromonospora	15	1.5
Alouatta:Pan	Nocardiopsis	2	0.2
Alouatta:Pan	Propionibacterium	9	0.8999999999999999
Alouatta:Pan	Tessaracoccus	1	0.1
Alouatta:Gorilla:Pan	Acidipropionibacterium	108	10.8
Alouatta:Gorilla:Pan	Bacillus	99	9.9
Alouatta:Gorilla:Pan	Bifidobacterium	282	28.199999999999996
Alouatta:Gorilla:Pan	Brachybacterium	29	2.9000000000000004
Alouatta:Gorilla:Pan	Clostridium	52	5.2
Alouatta:Gorilla:Pan	Desulfovibrio	33	3.3000000000000003
Alouatta:Gorilla:Pan	Micromonospora	43	4.3
Alouatta:Gorilla:Pan	Mycobacterium	28	2.8000000000000003
Alouatta:Gorilla:Pan	Ottowia	3	0.3
Alouatta:Gorilla:Pan	Prevotella	9	0.8999999999999999
Alouatta:Gorilla:Pan	Propionibacterium	987	98.7
Alouatta:Gorilla:Pan	Rothia	22	2.1999999999999997
Alouatta:Gorilla:Pan	Tessaracoccus	899	89.9
Homo	Bordetella	8	0.8
Homo	Desulfovibrio	2	0.2
Homo	Methanobrevibacter	822	82.19999999999999
Homo	Murdochiella	4	0.4
Homo	Veillonella	109	10.9
Alouatta:Homo	Aggregatibacter	1	0.1
Alouatta:Homo	Bordetella	67	6.7
Alouatta:Homo	Capnocytophaga	7	0.7000000000000001
Alouatta:Homo	Desulfovibrio	2	0.2
Alouatta:Homo	Eikenella	23	2.3
Alouatta:Homo	Haemophilus	108	10.8
Alouatta:Homo	Leptotrichia	832	83.2
Alouatta:Homo	Neisseria	1	0.1
Alouatta:Homo	Rothia	21	2.1
Alouatta:Homo	Veillonella	153	15.299999999999999
Alouatta:Gorilla:Pan:Homo:Control	Actinomyces	477	47.699999999999996
Alouatta:Gorilla:Pan:Homo:Control	Corynebacterium	126	12.6
Alouatta:Gorilla:Pan:Homo:Control	Fusobacterium	1	0.1
Alouatta:Gorilla:Pan:Homo:Control	Mycobacterium	631	63.1
Alouatta:Gorilla:Pan:Homo:Control	Neisseria	18	1.7999999999999998
Alouatta:Gorilla:Pan:Homo:Control	Olsenella	93	9.3
Alouatta:Gorilla:Pan:Homo:Control	Ottowia	156	15.6
Alouatta:Gorilla:Pan:Homo:Control	Porphyromonas	1	0.1
Alouatta:Gorilla:Pan:Homo:Control	Prevotella	1	0.1
Alouatta:Gorilla:Pan:Homo:Control	Pseudopropionibacterium	249	24.9
Alouatta:Gorilla:Pan:Homo:Control	Rothia	12	1.2
Alouatta:Gorilla:Pan:Homo:Control	Streptococcus	688	68.8
Alouatta:Gorilla:Pan:Homo:Control	Tannerella	24	2.4
Gorilla	Acidipropionibacterium	267	26.700000000000003
Gorilla	Aeromonas	194	19.400000000000002
Gorilla	Bacillus	50	5
Gorilla	Bordetella	38	3.8
Gorilla	Brachybacterium	39	3.9
Gorilla	Friedmanniella	107	10.7
Gorilla	Lactobacillus	56	5.6000000000000005
Gorilla	Libanicoccus	74	7.3999999999999995
Gorilla	Methanobrevibacter	3	0.3
Gorilla	Microlunatus	77	7.7
Gorilla	Nocardia	367	36.7
Gorilla	Veillonella	55	5.5
Gorilla:Pan	Acidipropionibacterium	51	5.1
Gorilla:Pan	Bacillus	67	6.7
Gorilla:Pan	Bifidobacterium	713	71.3
Gorilla:Pan	Brachybacterium	3	0.3
Gorilla:Pan	Clostridium	127	12.7
Gorilla:Pan	Desulfovibrio	78	7.8
Gorilla:Pan	Filifactor	2	0.2
Gorilla:Pan	Libanicoccus	17	1.7000000000000002
Gorilla:Pan	Methanobrevibacter	2	0.2
Gorilla:Pan	Nocardia	20	2
Gorilla:Pan:Homo	Clostridium	129	12.9
Gorilla:Pan:Homo	Desulfovibrio	199	19.900000000000002
Gorilla:Pan:Homo	Filifactor	40	4
Gorilla:Pan:Homo	Fretibacterium	842	84.2
Gorilla:Pan:Homo	Methanobrevibacter	3	0.3
Gorilla:Pan:Homo	Mogibacterium	318	31.8
Gorilla:Pan:Homo	Olsenella	314	31.4
Gorilla:Pan:Homo	Parvimonas	111	11.1
Gorilla:Pan:Homo	Porphyromonas	207	20.7
Gorilla:Pan:Homo	Prevotella	77	7.7
Gorilla:Pan:Homo	Selenomonas	78	7.8
Gorilla:Pan:Homo	Tannerella	335	33.5
Gorilla:Pan:Homo	Treponema	127	12.7
Gorilla:Homo	Bordetella	12	1.2
Gorilla:Homo	Desulfovibrio	3	0.3
Gorilla:Homo	Methanobrevibacter	28	2.8000000000000003
Gorilla:Homo	Veillonella	167	16.7
