Combination	Taxon	n	Bootstrap_Result
Alouatta:Gorilla:Pan:Homo	Tannerella	534	53.400000000000006
Alouatta:Gorilla:Pan:Homo	Treponema	209	20.9
Pan:Homo	Anaeroglobus	1	0.1
Pan:Homo	Candidatus Kryptonium	51	5.1
Pan:Homo	Clostridium	32	3.2
Pan:Homo	Desulfobulbus	141	14.099999999999998
Pan:Homo	Desulfomicrobium	253	25.3
Pan:Homo	Dialister	1	0.1
Pan:Homo	Eubacterium	939	93.89999999999999
Pan:Homo	Filifactor	192	19.2
Pan:Homo	Gemella	1	0.1
Pan:Homo	Johnsonella	347	34.699999999999996
Pan:Homo	Methanobrevibacter	62	6.2
Pan:Homo	Mogibacterium	468	46.800000000000004
Pan:Homo	Olsenella	1	0.1
Pan:Homo	Oribacterium	6	0.6
Pan:Homo	Parvimonas	234	23.400000000000002
Pan:Homo	Peptoanaerobacter	305	30.5
Pan:Homo	Phocaeicola	995	99.5
Pan:Homo	Porphyromonas	141	14.099999999999998
Pan:Homo	Pseudoramibacter	12	1.2
Pan:Homo	Slackia	14	1.4000000000000001
Pan:Homo	Tannerella	74	7.3999999999999995
Pan:Homo	Treponema	248	24.8
Alouatta:Homo	Actinobaculum	6	0.6
Alouatta:Homo	Aggregatibacter	20	2
Alouatta:Homo	Candidatus Kryptonium	13	1.3
Alouatta:Homo	Capnocytophaga	154	15.4
Alouatta:Homo	Cardiobacterium	154	15.4
Alouatta:Homo	Catonella	271	27.1
Alouatta:Homo	Eikenella	17	1.7000000000000002
Alouatta:Homo	Gemella	624	62.4
Alouatta:Homo	Haemophilus	480	48
Alouatta:Homo	Kingella	88	8.799999999999999
Alouatta:Homo	Lautropia	631	63.1
Alouatta:Homo	Leptotrichia	773	77.3
Alouatta:Homo	Neisseria	20	2
Alouatta:Homo	Ottowia	4	0.4
Alouatta:Homo	Parvimonas	8	0.8
Alouatta:Homo	Rothia	525	52.5
Alouatta:Homo	Veillonella	185	18.5
Gorilla:Pan:Homo	Candidatus Kryptonium	9	0.8999999999999999
Gorilla:Pan:Homo	Clostridium	161	16.1
Gorilla:Pan:Homo	Desulfobulbus	859	85.9
Gorilla:Pan:Homo	Dialister	2	0.2
Gorilla:Pan:Homo	Johnsonella	360	36
Gorilla:Pan:Homo	Olsenella	375	37.5
Gorilla:Pan:Homo	Oribacterium	1	0.1
Gorilla:Pan:Homo	Parvimonas	120	12
Gorilla:Pan:Homo	Porphyromonas	235	23.5
Gorilla:Pan:Homo	Prevotella	78	7.8
Gorilla:Pan:Homo	Propionibacterium	256	25.6
Gorilla:Pan:Homo	Pseudoramibacter	7	0.7000000000000001
Gorilla:Pan:Homo	Selenomonas	1	0.1
Gorilla:Pan:Homo	Slackia	478	47.8
Gorilla:Pan:Homo	Tannerella	302	30.2
Gorilla:Pan:Homo	Treponema	128	12.8
Alouatta:Gorilla:Homo	Aggregatibacter	980	98
Alouatta:Gorilla:Homo	Capnocytophaga	73	7.3
Alouatta:Gorilla:Homo	Cardiobacterium	844	84.39999999999999
Alouatta:Gorilla:Homo	Corynebacterium	53	5.3
Alouatta:Gorilla:Homo	Eikenella	806	80.60000000000001
Alouatta:Gorilla:Homo	Haemophilus	280	28.000000000000004
Alouatta:Gorilla:Homo	Kingella	48	4.8
Alouatta:Gorilla:Homo	Lautropia	368	36.8
Alouatta:Gorilla:Homo	Leptotrichia	227	22.7
Alouatta:Gorilla:Homo	Neisseria	980	98
