Combination	Taxon	n	Bootstrap_Result
Gorilla:Pan:Homo	Desulfobulbus	558	55.800000000000004
Gorilla:Pan:Homo	Dialister	4	0.4
Gorilla:Pan:Homo	Johnsonella	328	32.800000000000004
Gorilla:Pan:Homo	Olsenella	246	24.6
Gorilla:Pan:Homo	Parvimonas	127	12.7
Gorilla:Pan:Homo	Porphyromonas	226	22.6
Gorilla:Pan:Homo	Prevotella	68	6.800000000000001
Gorilla:Pan:Homo	Propionibacterium	226	22.6
Gorilla:Pan:Homo	Pseudoramibacter	4	0.4
Gorilla:Pan:Homo	Slackia	462	46.2
Gorilla:Pan:Homo	Tannerella	264	26.400000000000002
Gorilla:Pan:Homo	Treponema	136	13.600000000000001
Homo	Abiotrophia	998	99.8
Homo	Catonella	140	14.000000000000002
Homo	Desulfomicrobium	172	17.2
Homo	Eubacterium	57	5.7
Homo	Granulicatella	40	4
Homo	Johnsonella	112	11.200000000000001
Homo	Methanobrevibacter	836	83.6
Homo	Morococcus	37	3.6999999999999997
Homo	Oribacterium	1	0.1
Homo	Parvimonas	5	0.5
Homo	Peptoanaerobacter	573	57.3
Homo	Sanguibacter	1	0.1
Homo	Veillonella	107	10.7
Homo	Xylanimonas	1	0.1
Alouatta:Homo	Actinobaculum	9	0.8999999999999999
Alouatta:Homo	Aggregatibacter	25	2.5
Alouatta:Homo	Capnocytophaga	138	13.8
Alouatta:Homo	Cardiobacterium	154	15.4
Alouatta:Homo	Catonella	273	27.3
Alouatta:Homo	Eikenella	23	2.3
Alouatta:Homo	Gemella	600	60
Alouatta:Homo	Haemophilus	519	51.9
Alouatta:Homo	Kingella	82	8.200000000000001
Alouatta:Homo	Lautropia	609	60.9
Alouatta:Homo	Leptotrichia	781	78.10000000000001
Alouatta:Homo	Neisseria	25	2.5
Alouatta:Homo	Ottowia	5	0.5
Alouatta:Homo	Parvimonas	11	1.0999999999999999
Alouatta:Homo	Rothia	501	50.1
Alouatta:Homo	Veillonella	164	16.400000000000002
