Combination	Taxon	n	Bootstrap_Result
Pan	Libanicoccus	176	17.599999999999998
Pan	Methanobrevibacter	4	0.4
Pan	Murdochiella	752	75.2
Pan	Nocardia	17	1.7000000000000002
Pan	Nocardiopsis	11	1.0999999999999999
Pan	Petrimonas	715	71.5
Pan	Pyramidobacter	242	24.2
Pan	Slackia	1000	100
Pan	Trueperella	183	18.3
Alouatta:Gorilla	Acidipropionibacterium	444	44.4
Alouatta:Gorilla	Actinobacillus	740	74
Alouatta:Gorilla	Aeromonas	72	7.199999999999999
Alouatta:Gorilla	Aggregatibacter	1	0.1
Alouatta:Gorilla	Bacillus	90	9
Alouatta:Gorilla	Basfia	279	27.900000000000002
Alouatta:Gorilla	Bordetella	468	46.800000000000004
Alouatta:Gorilla	Brachybacterium	555	55.50000000000001
Alouatta:Gorilla	Desulfovibrio	1	0.1
Alouatta:Gorilla	Enterococcus	381	38.1
Alouatta:Gorilla	Haemophilus	146	14.6
Alouatta:Gorilla	Kingella	1	0.1
Alouatta:Gorilla	Kocuria	919	91.9
Alouatta:Gorilla	Lactobacillus	680	68
Alouatta:Gorilla	Mannheimia	279	27.900000000000002
Alouatta:Gorilla	Micromonospora	591	59.099999999999994
Alouatta:Gorilla	Pasteurella	740	74
Alouatta:Gorilla	Propionibacterium	3	0.3
Alouatta:Gorilla	Rothia	105	10.5
Alouatta:Gorilla	Tessaracoccus	72	7.199999999999999
Alouatta:Gorilla	Veillonella	109	10.9
Alouatta	Acidipropionibacterium	55	5.5
Alouatta	Actinobacillus	260	26
Alouatta	Actinoplanes	913	91.3
Alouatta	Aeromonas	183	18.3
Alouatta	Amycolatopsis	203	20.3
Alouatta	Bacillus	224	22.400000000000002
Alouatta	Basfia	721	72.1
Alouatta	Bordetella	248	24.8
Alouatta	Brachybacterium	351	35.099999999999994
Alouatta	Cellulomonas	268	26.8
Alouatta	Cellulosimicrobium	256	25.6
Alouatta	Chryseobacterium	292	29.2
Alouatta	Desulfovibrio	1	0.1
Alouatta	Enterococcus	619	61.9
Alouatta	Gemella	4	0.4
Alouatta	Glaesserella	255	25.5
Alouatta	Haemophilus	23	2.3
Alouatta	Kingella	999	99.9
Alouatta	Kocuria	81	8.1
Alouatta	Lactobacillus	248	24.8
Alouatta	Mannheimia	721	72.1
Alouatta	Megasphaera	650	65
Alouatta	Micromonospora	367	36.7
Alouatta	Nitrosomonas	292	29.2
Alouatta	Nocardiopsis	288	28.799999999999997
Alouatta	Pasteurella	260	26
Alouatta	Pseudopedobacter	292	29.2
Alouatta	Rothia	4	0.4
Alouatta	Veillonella	76	7.6
Alouatta:Gorilla:Homo	Aggregatibacter	998	99.8
Alouatta:Gorilla:Homo	Bordetella	130	13
Alouatta:Gorilla:Homo	Capnocytophaga	21	2.1
Alouatta:Gorilla:Homo	Desulfovibrio	1	0.1
Alouatta:Gorilla:Homo	Eikenella	927	92.7
Alouatta:Gorilla:Homo	Haemophilus	734	73.4
Alouatta:Gorilla:Homo	Leptotrichia	89	8.9
Alouatta:Gorilla:Homo	Neisseria	871	87.1
Alouatta:Gorilla:Homo	Rothia	665	66.5
Alouatta:Gorilla:Homo	Tessaracoccus	4	0.4
Alouatta:Gorilla:Homo	Veillonella	288	28.799999999999997
Alouatta:Gorilla:Pan	Acidipropionibacterium	97	9.700000000000001
Alouatta:Gorilla:Pan	Bacillus	94	9.4
Alouatta:Gorilla:Pan	Bifidobacterium	267	26.700000000000003
Alouatta:Gorilla:Pan	Brachybacterium	29	2.9000000000000004
Alouatta:Gorilla:Pan	Clostridium	45	4.5
Alouatta:Gorilla:Pan	Desulfovibrio	41	4.1000000000000005
Alouatta:Gorilla:Pan	Micromonospora	24	2.4
